text,day,weekday,month,year,text_nt,day_bool,month_bool,year_bool,day_match,month_match,year_match,match
العُشر الأخير من شهر ربيع الأول سنة تسع وتسعين وخمس مئة,21-30,,3.0,599,"['العشر', 'الاخير', 'من', 'شهر', 'ربيع', 'الاول', 'سنة', 'تسع', 'وتسعين', 'وخمس', 'مئة']",,True,True,,3,599.0,"<re.Match object; span=(0, 55), match=' العشر الاخير من شهر ربيع الاول سنة تسع وتسعين وخ>"
العُشر الأخير من شهر ربيع الأول سنة تسع وتسعين وخمس مئة,21-30,,3.0,599,"['العشر', 'الاخير', 'من', 'شهر', 'ربيع', 'الاول', 'سنة', 'تسع', 'وتسعين', 'وخمس', 'مئة']",,True,True,,3,599.0,"<re.Match object; span=(0, 55), match=' العشر الاخير من شهر ربيع الاول سنة تسع وتسعين وخ>"
يوم الاثنين ويوم الثلاثاء خامس وسادس وعشري شعبان سنة خمس وثلاثين وسـ[ـتمية],15-16,Yawm al-ithnayn - Yawm al-thalatha,8.0,635,"['يوم', 'الاثنين', 'ويوم', 'الثلاثاء', 'خامس', 'وسادس', 'وعشري', 'شعبان', 'سنة', 'خمس', 'وثلاثين', 'وستمية']",,True,True,10.0,8,635.0,"<re.Match object; span=(0, 72), match=' يوم الاثنين ويوم الثلاثاء خامس وسادس وعشري شعبان>"
العشر الأخير من شهر رمضان سنة أربع وتسعين وخمس ماية,20-30,,9.0,594,"['العشر', 'الاخير', 'من', 'شهر', 'رمضان', 'سنة', 'اربع', 'وتسعين', 'وخمس', 'ماية']",,True,True,,9,594.0,"<re.Match object; span=(0, 52), match=' العشر الاخير من شهر رمضان سنة اربع وتسعين وخمس م>"
يوم الثلاثاء مستهل ربيع الأول سنة أربعين وسبعمية,1-3,Yawm al-thalatha,3.0,740,"['يوم', 'الثلاثاء', 'مستهل', 'ربيع', 'الاول', 'سنة', 'اربعين', 'وسبعمية']",,True,True,,3,740.0,"<re.Match object; span=(0, 49), match=' يوم الثلاثاء مستهل ربيع الاول سنة اربعين وسبعمية>"
العشر الأول من شهر ربيع الأول سنة اثنتين وعشرين وستماية,1-10,,3.0,622,"['العشر', 'الاول', 'من', 'شهر', 'ربيع', 'الاول', 'سنة', 'اثنتين', 'وعشرين', 'وستماية']",,True,True,,3,622.0,"<re.Match object; span=(0, 56), match=' العشر الاول من شهر ربيع الاول سنة اثنتين وعشرين >"
ليلة الثلاثاء منتصف شهر ربيع الآخر سنة ست عشرة وسبعماية,15.,Yawm al-thalatha,4.0,716,"['ليلة', 'الثلاثاء', 'منتصف', 'شهر', 'ربيع', 'الاخر', 'سنة', 'ست', 'عشرة', 'وسبعماية']",,True,True,,4,716.0,"<re.Match object; span=(0, 56), match=' ليلة الثلاثاء منتصف شهر ربيع الاخر سنة ست عشرة و>"
يوم الثلاثاء في العشر الأخير من صفر سنة سبع وستماية,21-30,Yawm al-thalatha,2.0,607,"['يوم', 'الثلاثاء', 'في', 'العشر', 'الاخير', 'من', 'صفر', 'سنة', 'سبع', 'وستماية']",,True,True,,2,607.0,"<re.Match object; span=(0, 52), match=' يوم الثلاثاء في العشر الاخير من صفر سنة سبع وستم>"
العشر الأخير من صفر سنة سبع وستماية,21-30,,2.0,607,"['العشر', 'الاخير', 'من', 'صفر', 'سنة', 'سبع', 'وستماية']",,True,True,,2,607.0,"<re.Match object; span=(0, 36), match=' العشر الاخير من صفر سنة سبع وستماية'>"
يوم الجمعة في العشر الأخير من صفر سنة سبع وستماية,21-30,Yawm al-juma,2.0,607,"['يوم', 'الجمعة', 'في', 'العشر', 'الاخير', 'من', 'صفر', 'سنة', 'سبع', 'وستماية']",,True,True,,2,607.0,"<re.Match object; span=(0, 50), match=' يوم الجمعة في العشر الاخير من صفر سنة سبع وستماي>"
في العشر الخير من صفر سنة سبع وستماية,21- 30,,2.0,607,"['في', 'العشر', 'الخير', 'من', 'صفر', 'سنة', 'سبع', 'وستماية']",,True,True,,2,607.0,"<re.Match object; span=(0, 38), match=' في العشر الخير من صفر سنة سبع وستماية'>"
يوم السبت سلخ جمادى الآخرة من سنة ست وتسعين وخمسماية,21- 30,Yawm al-sabt,6.0,596,"['يوم', 'السبت', 'سلخ', 'جمادى', 'الاخرة', 'من', 'سنة', 'ست', 'وتسعين', 'وخمسماية']",,True,True,,6,596.0,"<re.Match object; span=(0, 53), match=' يوم السبت سلخ جمادى الاخرة من سنة ست وتسعين وخمس>"
يوم الاثنين في العشر الأخير من صفر سنة سبع وستماية,21- 30,Yawm al-ithnayn,2.0,607,"['يوم', 'الاثنين', 'في', 'العشر', 'الاخير', 'من', 'صفر', 'سنة', 'سبع', 'وستماية']",,True,True,,2,607.0,"<re.Match object; span=(0, 51), match=' يوم الاثنين في العشر الاخير من صفر سنة سبع وستما>"
يوم السبت سلخ جمادى الآخرة من سنة ست وتسعين وخمسماية,21- 30,Yawm al-sabt,6.0,596,"['يوم', 'السبت', 'سلخ', 'جمادى', 'الاخرة', 'من', 'سنة', 'ست', 'وتسعين', 'وخمسماية']",,True,True,,6,596.0,"<re.Match object; span=(0, 53), match=' يوم السبت سلخ جمادى الاخرة من سنة ست وتسعين وخمس>"
يوم السبت سلخ جمادى الآخرة من سنة ست وتسعين وخمسماية,21- 30,Yawm al-sabt,6.0,596,"['يوم', 'السبت', 'سلخ', 'جمادى', 'الاخرة', 'من', 'سنة', 'ست', 'وتسعين', 'وخمسماية']",,True,True,,6,596.0,"<re.Match object; span=(0, 53), match=' يوم السبت سلخ جمادى الاخرة من سنة ست وتسعين وخمس>"
يوم السبت سلخ جمادى الآخرة من سنة ست وتسعين وخمسماية ,21- 30,Yawm al-sabt,6.0,596,"['يوم', 'السبت', 'سلخ', 'جمادى', 'الاخرة', 'من', 'سنة', 'ست', 'وتسعين', 'وخمسماية']",,True,True,,6,596.0,"<re.Match object; span=(0, 53), match=' يوم السبت سلخ جمادى الاخرة من سنة ست وتسعين وخمس>"
 يوم الأحد سلخ جمادى الآخرة من سنة ست وتسعين وخمسماية,21- 30,Yawm al-ahad,6.0,596,"['يوم', 'الاحد', 'سلخ', 'جمادى', 'الاخرة', 'من', 'سنة', 'ست', 'وتسعين', 'وخمسماية']",,True,True,,6,596.0,"<re.Match object; span=(0, 53), match=' يوم الاحد سلخ جمادى الاخرة من سنة ست وتسعين وخمس>"
مستهل رجب سنة ست وتسعين وخمسماية,1-3,,7.0,596,"['مستهل', 'رجب', 'سنة', 'ست', 'وتسعين', 'وخمسماية']",,True,True,,7,596.0,"<re.Match object; span=(0, 33), match=' مستهل رجب سنة ست وتسعين وخمسماية'>"
يوم الأحد سلخ جمادى الآخرة من سنة ست وتسعين وخمسماية,21- 30,Yawm al-ahad,6.0,596,"['يوم', 'الاحد', 'سلخ', 'جمادى', 'الاخرة', 'من', 'سنة', 'ست', 'وتسعين', 'وخمسماية']",,True,True,,6,596.0,"<re.Match object; span=(0, 53), match=' يوم الاحد سلخ جمادى الاخرة من سنة ست وتسعين وخمس>"
في مستهل رجب سنة ست وتسعين وخمسماية,1- 3,,7.0,596,"['في', 'مستهل', 'رجب', 'سنة', 'ست', 'وتسعين', 'وخمسماية']",,True,True,,7,596.0,"<re.Match object; span=(0, 36), match=' في مستهل رجب سنة ست وتسعين وخمسماية'>"
يوم الاثنين مستهل [رجب من سنة ست وتسعين وخمسماية,1- 3,Yawm al-ithnayn,7.0,596,"['يوم', 'الاثنين', 'مستهل', 'رجب', 'من', 'سنة', 'ست', 'وتسعين', 'وخمسماية']",,True,True,,7,596.0,"<re.Match object; span=(0, 48), match=' يوم الاثنين مستهل رجب من سنة ست وتسعين وخمسماية'>"
في يوم الاثنين مستهل رجب من سنة ست وتسعين وخمسماية,1- 3,Yawm al-ithnayn,7.0,596,"['في', 'يوم', 'الاثنين', 'مستهل', 'رجب', 'من', 'سنة', 'ست', 'وتسعين', 'وخمسماية']",,True,True,,7,596.0,"<re.Match object; span=(0, 51), match=' في يوم الاثنين مستهل رجب من سنة ست وتسعين وخمسما>"
يوم الأحد في العشر الأخير من صفر سنة سبع وستمائة,21- 30,Yawm al-ahad,2.0,607,"['يوم', 'الاحد', 'في', 'العشر', 'الاخير', 'من', 'صفر', 'سنة', 'سبع', 'وستمائة']",,True,True,,2,607.0,"<re.Match object; span=(0, 49), match=' يوم الاحد في العشر الاخير من صفر سنة سبع وستمائة>"
في أواخر شهر رجب الفرد سنة ست عشرة وسبع,25- 30,,7.0,716,"['في', 'اواخر', 'شهر', 'رجب', 'الفرد', 'سنة', 'ست', 'عشرة', 'وسبع']",,True,False,,7,16.0,"<re.Match object; span=(0, 35), match=' في اواخر شهر رجب الفرد سنة ست عشرة'>"
أواخر ذي قعدة سنة ست [و] سبعين وخمس ماية,25- 30,,11.0,576,"['اواخر', 'ذي', 'قعدة', 'سنة', 'ست', 'و', 'سبعين', 'وخمس', 'ماية']",,True,False,,11,6.0,"<re.Match object; span=(0, 21), match=' اواخر ذي قعدة سنة ست'>"
 في العشر الأوسط من شهر شعبان من شهور سنة اثنتين وسبعين وخمسمائة,11- 20,,8.0,572,"['في', 'العشر', 'الاوسط', 'من', 'شهر', 'شعبان', 'من', 'شهور', 'سنة', 'اثنتين', 'وسبعين', 'وخمسمائة']",,True,True,,8,572.0,"<re.Match object; span=(0, 64), match=' في العشر الاوسط من شهر شعبان من شهور سنة اثنتين >"
شوال من سنة خمس وستين وخمس مائة,1- 5,,10.0,565,"['شوال', 'من', 'سنة', 'خمس', 'وستين', 'وخمس', 'مائة']",,True,True,,10,565.0,"<re.Match object; span=(0, 32), match=' شوال من سنة خمس وستين وخمس مائة'>"
مستهل ذي القعدة سنة خمس وثمانين وخمس ماية,1-3,,11.0,585,"['مستهل', 'ذي', 'القعدة', 'سنة', 'خمس', 'وثمانين', 'وخمس', 'ماية']",,True,True,,11,585.0,"<re.Match object; span=(0, 42), match=' مستهل ذي القعدة سنة خمس وثمانين وخمس ماية'>"
يوم السبت غرة جمادى الآخرة سنة خمس وخمسين وستماية,1- 3,Yawm al-sabt,6.0,655,"['يوم', 'السبت', 'غرة', 'جمادى', 'الاخرة', 'سنة', 'خمس', 'وخمسين', 'وستماية']",,True,True,,6,655.0,"<re.Match object; span=(0, 50), match=' يوم السبت غرة جمادى الاخرة سنة خمس وخمسين وستماي>"
في العشر الأوسط من شهر جمادى الأولى سنة سبع وثمانين وخمس [ماية],11- 20,,5.0,587,"['في', 'العشر', 'الاوسط', 'من', 'شهر', 'جمادى', 'الاولى', 'سنة', 'سبع', 'وثمانين', 'وخمس', 'ماية']",,True,True,,5,587.0,"<re.Match object; span=(0, 62), match=' في العشر الاوسط من شهر جمادى الاولى سنة سبع وثما>"
