text,day,weekday,month,year,text_nt,day_bool,month_bool,year_bool,day_match,month_match,year_match,match
يوم الخميس الثالث من شهر ربيع الأول [...] وستماية,3,Yawm al-khamis,3.0,660-676,"['يوم', 'الخميس', 'الثالث', 'من', 'شهر', 'ربيع', 'الاول', '.', '.', '.', 'وستماية']",False,False,False,,,,
الجمعة تاسع عشرين شهر رجب الأصم سنة سبع وثمانين وثمانماية,29,Yawm al-juma,7.0,887,"['الجمعة', 'تاسع', 'عشرين', 'شهر', 'رجب', 'الاصم', 'سنة', 'سبع', 'وثمانين', 'وثمانماية']",False,False,True,,,887.0,"<re.Match object; span=(0, 58), match=' الجمعة تاسع عشرين شهر رجب الاصم سنة سبع وثمانين >"
سادس ذي الجحة سنة سبع وثلاثين وسبعمية,6,,12.0,737,"['سادس', 'ذي', 'الجحة', 'سنة', 'سبع', 'وثلاثين', 'وسبعمية']",False,False,True,,,737.0,"<re.Match object; span=(0, 38), match=' سادس ذي الجحة سنة سبع وثلاثين وسبعمية'>"
خمس وتسعين وأربع ماية,,,,495,"['خمس', 'وتسعين', 'واربع', 'ماية']",False,False,False,,,,
ليلة السبت السادس عشر من جمادى الأخيرة سنة أربع عشرة وسبعمية,16,Yawm al-sabt,6.0,714,"['ليلة', 'السبت', 'السادس', 'عشر', 'من', 'جمادى', 'الاخيرة', 'سنة', 'اربع', 'عشرة', 'وسبعمية']",False,False,True,,,714.0,"<re.Match object; span=(0, 61), match=' ليلة السبت السادس عشر من جمادى الاخيرة سنة اربع >"
يوم الخميس حادي عشرين جمادى [سنة ست وتسعين وخمسماية,21,Yawm al-khamis,5.0,596,"['يوم', 'الخميس', 'حادي', 'عشرين', 'جمادى', 'سنة', 'ست', 'وتسعين', 'وخمسماية']",False,False,True,,,596.0,"<re.Match object; span=(0, 51), match=' يوم الخميس حادي عشرين جمادى سنة ست وتسعين وخمسما>"
ست وتسعين وخمسماية,,,,596,"['ست', 'وتسعين', 'وخمسماية']",False,False,False,,,,
يوم السبت لثلاث ليال خلون من رجب الأصب سنة خمس وعشرين وسبع ماية,3,Yawm al-sabt,7.0,725,"['يوم', 'السبت', 'لثلاث', 'ليال', 'خلون', 'من', 'رجب', 'الاصب', 'سنة', 'خمس', 'وعشرين', 'وسبع', 'ماية']",False,False,True,,,725.0,"<re.Match object; span=(0, 64), match=' يوم السبت لثلاث ليال خلون من رجب الاصب سنة خمس و>"
ثمان وستمائة,,,,608,"['ثمان', 'وستمائة']",False,False,False,,,,
 ثمان وستمائة,,,,608,"['ثمان', 'وستمائة']",False,False,False,,,,
يوم الخميس لسبع ليال خلون من شهر المحرم أول شهور سنة ثمان وسبع مائة,,Yawm al-khamis,1.0,708,"['يوم', 'الخميس', 'لسبع', 'ليال', 'خلون', 'من', 'شهر', 'المحرم', 'اول', 'شهور', 'سنة', 'ثمان', 'وسبع', 'مائة']",True,False,True,,,708.0,"<re.Match object; span=(0, 68), match=' يوم الخميس لسبع ليال خلون من شهر المحرم اول شهور>"
يوم الأربعاء خامس عشري شهر الله الحرام من سنة ثمان وثلاثين وستمائة,15,Yawm al-arba'a,11.0,638,"['يوم', 'الاربعاء', 'خامس', 'عشري', 'شهر', 'الله', 'الحرام', 'من', 'سنة', 'ثمان', 'وثلاثين', 'وستمائة']",False,False,True,,,638.0,"<re.Match object; span=(0, 67), match=' يوم الاربعاء خامس عشري شهر الله الحرام من سنة ثم>"
اثنتين وتسعين وستمائة,,,,692,"['اثنتين', 'وتسعين', 'وستمائة']",False,False,False,,,,
أولها يوم الجمعة سلخ المحرم من سنة خمس وثلاثين وسبعمائة وآخرها يوم الثلاثاء ثامن شهر ربيع الآخر,8,Yawm al-juma,4.0,735,"['اولها', 'يوم', 'الجمعة', 'سلخ', 'المحرم', 'من', 'سنة', 'خمس', 'وثلاثين', 'وسبعمائة', 'واخرها', 'يوم', 'الثلاثاء', 'ثامن', 'شهر', 'ربيع', 'الاخر']",False,False,True,,1,735.0,"<re.Match object; span=(0, 56), match=' اولها يوم الجمعة سلخ المحرم من سنة خمس وثلاثين و>"
سادس عشر شهر ربيع الآخرة سنة ثمان وثمانين وثمانمائة,16,,4.0,888,"['سادس', 'عشر', 'شهر', 'ربيع', 'الاخرة', 'سنة', 'ثمان', 'وثمانين', 'وثمانمائة']",False,False,True,,,888.0,"<re.Match object; span=(0, 52), match=' سادس عشر شهر ربيع الاخرة سنة ثمان وثمانين وثمانم>"
"يوم الأربعاء رابع عشري شهر جمادى [....]
ثمان ماية",14,Yawm al-arba'a,5.0,800- 899,"['يوم', 'الاربعاء', 'رابع', 'عشري', 'شهر', 'جمادى', '.', '.', '.', '.', 'ثمان', 'ماية']",False,False,False,,,,
ثلاث وثمانين [وستمائة,,,,683,"['ثلاث', 'وثمانين', 'وستمائة']",False,False,False,,,,
في صفر ثمانين وخمس ماية,,,2.0,580,"['في', 'صفر', 'ثمانين', 'وخمس', 'ماية']",False,False,False,,,,
عشرون من شهر رمضان المعظم [...] وستماية,20,,9.0,600- 655,"['عشرون', 'من', 'شهر', 'رمضان', 'المعظم', '.', '.', '.', 'وستماية']",False,False,False,,,,
