text,day,weekday,month,year,text_nt,day_bool,month_bool,year_bool,day_match,month_match,year_match,match
يوم الخميس الثالث من شهر ربيع الأول [...] وستماية,3,Yawm al-khamis,3.0,660-676,"['يوم', 'الخميس', 'الثالث', 'من', 'شهر', 'ربيع', 'الاول', '.', '.', '.', 'وستماية']",False,False,False,,,,
رابع عشرين ربيع الآخر عام ستة وتسعماية,24,,4.0,906,"['رابع', 'عشرين', 'ربيع', 'الاخر', 'عام', 'ستة', 'وتسعماية']",True,True,False,24.0,4,,"<re.Match object; span=(0, 26), match=' رابع عشرين ربيع الاخر عام'>"
الخميس من شهر صفر سنة أحد [كذا] وستين وثمان ماية,5,,2.0,861,"['الخميس', 'من', 'شهر', 'صفر', 'سنة', 'احد', 'كذا', 'وستين', 'وثمان', 'ماية']",True,True,False,5.0,2,1.0,"<re.Match object; span=(0, 26), match=' الخميس من شهر صفر سنة احد'>"
يوم الثلاثاء السبع من صفر من عام ستة وثلاثين وسبع ماية,7,Yawm al-thalatha,2.0,736,"['يوم', 'الثلاثاء', 'السبع', 'من', 'صفر', 'من', 'عام', 'ستة', 'وثلاثين', 'وسبع', 'ماية']",False,True,False,,2,,"<re.Match object; span=(0, 33), match=' يوم الثلاثاء السبع من صفر من عام'>"
خمس وتسعين وأربع ماية,,,,495,"['خمس', 'وتسعين', 'واربع', 'ماية']",False,False,False,,,,
أول جمادى الأولى سنة سبع وسبعين وخمساية,1,,5.0,577,"['اول', 'جمادى', 'الاولى', 'سنة', 'سبع', 'وسبعين', 'وخمساية']",False,True,False,,5,77.0,"<re.Match object; span=(0, 32), match=' اول جمادى الاولى سنة سبع وسبعين'>"
سابع شهر ربيع الأول من شهور سنة ثلاث وعشرين بعد الألف من الهجرة,7,,3.0,1023,"['سابع', 'شهر', 'ربيع', 'الاول', 'من', 'شهور', 'سنة', 'ثلاث', 'وعشرين', 'بعد', 'الالف', 'من', 'الهجرة']",True,True,False,7.0,3,23.0,"<re.Match object; span=(0, 44), match=' سابع شهر ربيع الاول من شهور سنة ثلاث وعشرين'>"
ست وتسعين وخمسماية,,,,596,"['ست', 'وتسعين', 'وخمسماية']",False,False,False,,,,
في أواخر شهر رجب الفرد سنة ست عشرة وسبع,25- 30,,7.0,716,"['في', 'اواخر', 'شهر', 'رجب', 'الفرد', 'سنة', 'ست', 'عشرة', 'وسبع']",,True,False,,7,16.0,"<re.Match object; span=(0, 35), match=' في اواخر شهر رجب الفرد سنة ست عشرة'>"
أواخر ذي قعدة سنة ست [و] سبعين وخمس ماية,25- 30,,11.0,576,"['اواخر', 'ذي', 'قعدة', 'سنة', 'ست', 'و', 'سبعين', 'وخمس', 'ماية']",,True,False,,11,6.0,"<re.Match object; span=(0, 21), match=' اواخر ذي قعدة سنة ست'>"
