"placeLabel","toponyms","typeLabel","geometry","cornuData"
"سنكان","سنكان، سنجان","towns","POINT (59.41155 35.05003)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Sankān, Sanǧān', 'cornu_URI': 'SANKAN_594E350N_S', 'toponym_arabic': 'سنكان', 'top_type_orig': 'canton', 'toponym_buckwalter': 'Sankan, Sanjan', 'toponym_arabic_other': 'سنكان، سنجان', 'toponym_translit': 'Sankān', 'coord_lat': '35.05003', 'toponym_search': 'Sankan, Sanjan', 'region_code': 'Khurasan', 'coord_lon': '59.41155', 'region_spelled': 'Ḫurāsān', 'top_type_hom': 'towns'}"
"بيسان","بيسان","towns","POINT (35.49256 32.5)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Baysān', 'cornu_URI': 'BAYSAN_354E325N_S', 'toponym_arabic': 'بيسان', 'top_type_orig': 'cite', 'toponym_buckwalter': 'Baysan', 'toponym_arabic_other': 'بيسان', 'toponym_translit': 'Baysān', 'coord_lat': '32.50000', 'toponym_search': 'Baysan', 'region_code': 'Sham', 'coord_lon': '35.49256', 'region_spelled': 'al-Šām (Greater Syria)', 'top_type_hom': 'towns'}"
"الغندجان","الغندجان","towns","POINT (51.26065 29.22327)","{'coord_certainty': 'certain', 'toponym_translit_other': 'al-Ġundiǧān', 'cornu_URI': 'GHUNDIJAN_512E292N_S', 'toponym_arabic': 'الغندجان', 'top_type_orig': 'cite', 'toponym_buckwalter': 'al-Ghundijan', 'toponym_arabic_other': 'الغندجان', 'toponym_translit': 'al-Ġundiǧān', 'coord_lat': '29.22327', 'toponym_search': 'al-Ghundijan', 'region_code': 'Faris', 'coord_lon': '51.26065', 'region_spelled': 'Fārs(or Fāris)', 'top_type_hom': 'towns'}"
"جسر سورا","جسر سورا، جسر سوران","towns","POINT (44.36585 32.64626)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Ǧisr Sūrā, Ǧisr Sūrān', 'cornu_URI': 'JISRSURA_443E326N_S', 'toponym_arabic': 'جسر سورا', 'top_type_orig': 'cite', 'toponym_buckwalter': 'Jisr Sura, Jisr Suran', 'toponym_arabic_other': 'جسر سورا، جسر سوران', 'toponym_translit': 'Ǧisr Sūrā', 'coord_lat': '32.64626', 'toponym_search': 'Jisr Sura, Jisr Suran', 'region_code': 'Iraq', 'coord_lon': '44.36585', 'region_spelled': 'al-ʿIrāq', 'top_type_hom': 'towns'}"
"فم العضدي","فم العضدي","waters","POINT (48.14211 30.41602)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Fam al-ʿAḍudī', 'cornu_URI': 'FAMADUDI_481E304N_W', 'toponym_arabic': 'فم العضدي', 'top_type_orig': 'riviere', 'toponym_buckwalter': 'Fam al-Adudi', 'toponym_arabic_other': 'فم العضدي', 'toponym_translit': 'Fam al-ʿAḍudī', 'coord_lat': '30.41602', 'toponym_search': 'Fam al-Adudi', 'region_code': 'Khuzistan', 'coord_lon': '48.14211', 'region_spelled': 'Ḫūzistān (al-Ahwāz)', 'top_type_hom': 'waters'}"
"اندخوذ","اندخوذ","towns","POINT (65.16655 36.95541)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Andaḫūḏ', 'cornu_URI': 'ANDAKHUDH_651E369N_S', 'toponym_arabic': 'أندخوذ', 'top_type_orig': 'cite', 'toponym_buckwalter': 'Andakhudh', 'toponym_arabic_other': 'أندخوذ', 'toponym_translit': 'Andaḫūḏ', 'coord_lat': '36.95541', 'toponym_search': 'Andakhudh', 'region_code': 'Khurasan', 'coord_lon': '65.16655', 'region_spelled': 'Ḫurāsān', 'top_type_hom': 'towns'}"
"خواكند","خواكند","towns","POINT (71.05784 40.55623)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Ḫuwākand', 'cornu_URI': 'KHUWAKAND_710E405N_S', 'toponym_arabic': 'خواكند', 'top_type_orig': 'cite', 'toponym_buckwalter': 'Khuwakand', 'toponym_arabic_other': 'خواكند', 'toponym_translit': 'Ḫuwākand', 'coord_lat': '40.55623', 'toponym_search': 'Khuwakand', 'region_code': 'Transoxiana', 'coord_lon': '71.05784', 'region_spelled': 'Mā-warāʾ-l-nahr (Transoxiana)', 'top_type_hom': 'towns'}"
"بركوش","بركوش","towns","POINT (69.53615000000001 41.5108)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Barkūš', 'cornu_URI': 'BARKUSH_695E415N_S', 'toponym_arabic': 'بركوش', 'top_type_orig': 'cite', 'toponym_buckwalter': 'Barkush', 'toponym_arabic_other': 'بركوش', 'toponym_translit': 'Barkūš', 'coord_lat': '41.51080', 'toponym_search': 'Barkush', 'region_code': 'Transoxiana', 'coord_lon': '69.53615', 'region_spelled': 'Mā-warāʾ-l-nahr (Transoxiana)', 'top_type_hom': 'towns'}"
"تل عبدا","تل عبدا","waystations","POINT (38.72906 36.69218)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Tall ʿAbdā', 'cornu_URI': 'TALLABDA_387E366N_S', 'toponym_arabic': 'تل عبدا', 'top_type_orig': 'etape', 'toponym_buckwalter': 'Tall Abda', 'toponym_arabic_other': 'تل عبدا', 'toponym_translit': 'Tall ʿAbdā', 'coord_lat': '36.69218', 'toponym_search': 'Tall Abda', 'region_code': 'Aqur', 'coord_lon': '38.72906', 'region_spelled': 'Aqūr (al-Jazīraŧ)', 'top_type_hom': 'waystations'}"
"اخياس","اخياس","towns","POINT (13.09201 38.13882)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Aḫyās', 'cornu_URI': 'AKHYAS_130E381N_S', 'toponym_arabic': 'أخياس', 'top_type_orig': 'cite', 'toponym_buckwalter': 'Akhyas', 'toponym_arabic_other': 'أخياس', 'toponym_translit': 'Aḫyās', 'coord_lat': '38.13882', 'toponym_search': 'Akhyas', 'region_code': 'Sicile', 'coord_lon': '13.09201', 'region_spelled': 'Siqiliyyaŧ (Sicile)', 'top_type_hom': 'towns'}"
"كرت","كرت","towns","POINT (-5.83301 34.59132)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Kurt', 'cornu_URI': 'KURT_058W345N_S', 'toponym_arabic': 'كرت', 'top_type_orig': 'cite', 'toponym_buckwalter': 'Kurt', 'toponym_arabic_other': 'كرت', 'toponym_translit': 'Kurt', 'coord_lat': '34.59132', 'toponym_search': 'Kurt', 'region_code': 'Maghrib', 'coord_lon': '-5.83301', 'region_spelled': 'al-Maġrib', 'top_type_hom': 'towns'}"
"سرويستان","سرويستان، سرورير","towns","POINT (52.43219 31.42233)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Sarwīstān, Sarūrīr', 'cornu_URI': 'SARWISTAN_524E314N_S', 'toponym_arabic': 'سرويستان', 'top_type_orig': 'cite', 'toponym_buckwalter': 'Sarwistan, Sarurir', 'toponym_arabic_other': 'سرويستان، سرورير', 'toponym_translit': 'Sarwīstān', 'coord_lat': '31.42233', 'toponym_search': 'Sarwistan, Sarurir', 'region_code': 'Faris', 'coord_lon': '52.43219', 'region_spelled': 'Fārs(or Fāris)', 'top_type_hom': 'towns'}"
"نهر جرسيق","نهر جرسيق، نهر جرشيق","waters","POINT (51.76932 29.326)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Nahr Ǧarsīq, Nahr Ǧaršīq', 'cornu_URI': 'NAHRJARSIQ_517E293N_W', 'toponym_arabic': 'نهر جرسيق', 'top_type_orig': 'riviere', 'toponym_buckwalter': 'Nahr Jarsiq, Nahr Jarshiq', 'toponym_arabic_other': 'نهر جرسيق، نهر جرشيق', 'toponym_translit': 'Nahr Ǧarsīq', 'coord_lat': '29.32600', 'toponym_search': 'Nahr Jarsiq, Nahr Jarshiq', 'region_code': 'Faris', 'coord_lon': '51.76932', 'region_spelled': 'Fārs(or Fāris)', 'top_type_hom': 'waters'}"
"الحلة","الحلة","towns","POINT (35.63816 32.97543)","{'coord_certainty': 'certain', 'toponym_translit_other': 'al-Ḥulaŧ', 'cornu_URI': 'HULA_356E329N_S', 'toponym_arabic': 'الحلة', 'top_type_orig': 'canton', 'toponym_buckwalter': 'al-Hula', 'toponym_arabic_other': 'الحلة', 'toponym_translit': 'al-Ḥulaŧ', 'coord_lat': '32.97543', 'toponym_search': 'al-Hula', 'region_code': 'Sham', 'coord_lon': '35.63816', 'region_spelled': 'al-Šām (Greater Syria)', 'top_type_hom': 'towns'}"
"النشوى","النشوى","towns","POINT (45.3766 39.34739)","{'coord_certainty': 'certain', 'toponym_translit_other': 'al-Našawá', 'cornu_URI': 'NASHAWA_453E393N_S', 'toponym_arabic': 'النشوى', 'top_type_orig': 'cite', 'toponym_buckwalter': 'al-Nashawa', 'toponym_arabic_other': 'النشوى', 'toponym_translit': 'al-Našawá', 'coord_lat': '39.34739', 'toponym_search': 'al-Nashawa', 'region_code': 'Rihab', 'coord_lon': '45.37660', 'region_spelled': 'al-Riḥāb (Caucasus)', 'top_type_hom': 'towns'}"
"برزند","برزند","towns","POINT (47.85286 38.96621)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Barzand', 'cornu_URI': 'BARZAND_478E389N_S', 'toponym_arabic': 'برزند', 'top_type_orig': 'cite', 'toponym_buckwalter': 'Barzand', 'toponym_arabic_other': 'برزند', 'toponym_translit': 'Barzand', 'coord_lat': '38.96621', 'toponym_search': 'Barzand', 'region_code': 'Rihab', 'coord_lon': '47.85286', 'region_spelled': 'al-Riḥāb (Caucasus)', 'top_type_hom': 'towns'}"
