token,tokenized,lemma,label,pos
ست,ست,سِتّ,O,noun
قريش,قريش,قُرَيْش,I-ORG,noun_prop
ابنة,ابنة,ٱِبْنَة,O,noun
النجم,النجم,نَجْم,O,noun
محمد,محمد,مُحَمَّد,B-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
ابي,أبي,أَبِي,I-PERS,noun_prop
البركات,البركات,بَرَكَة,I-PERS,noun
محمد,محمد,مُحَمَّد,B-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
ابي,أبي,أَبِي,I-PERS,noun_prop
السعود,السعود,سُعُود,I-PERS,noun_prop
محمد,محمد,مُحَمَّد,B-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
حسين,حسين,حُسَيْن,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
على,على,عَلَى,I-PERS,prep
بن,بن,بِن,I-PERS,noun_prop
احمد,أحمد,أَحْمَد,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
عطية,عطية,عَطِيَّة,I-PERS,noun
بن,بن,بِن,I-PERS,noun_prop
ظهيرة,ظهيرة,ظَهِيرَة,I-PERS,noun
القرشي,القرشي,قُرَشِيّ,I-PERS,noun_prop
امها,أمها,أُمّ,O,noun
رابعة,رابعة,رابِع,B-PERS,adj
ابنة,ابنة,ٱِبْنَة,O,noun
داود,داود,داوُد,B-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
علي,على,عَلَى,I-PERS,prep
الكيلاني,الكيلاني,الكيلاني,I-PERS,noun_prop
.,.,.,O,punc
اجاز,أجاز,أَجاز,O,verb
لها,لها,لِ,O,prep
في,في,فِي,O,prep
سنة,سنة,سَنَة,O,noun
ست,ست,سِتّ,O,noun
واربعين,و+_أربعين,أَرْبَع,O,noun
وثمانمائة,و+_ثمانمائة,ثَمانِمائَة,O,noun
جماعة,جماعة,جَماعَة,O,noun
.,.,.,O,punc
وماتت,و+_ماتت,مات,O,verb
في,في,فِي,O,prep
ذي,ذي,ذُو,O,noun
القعدة,القعدة,قَعْدَة,O,noun
سنة,سنة,سَنَة,O,noun
اربع,أربع,أَرْبَع,O,noun_prop
وخمسين,و+_خمسين,خَمْس,O,noun
بمكة,ب+_مكة,مَكَّة,B-LOC,noun_prop
.,.,.,O,punc
