,book_id,text,volume,page,book_title,section_title,subsection_title,corrected_id,part_of_multi_ids,entry_type,text_nt
52,," إبراهيم بن أحمد بن وفاء . في ابن أحمد بن محمد بن محمد بن وفاء .
",1,28," حرف الألف 
",,,False,False,alt,"['ابراهيم', 'بن', 'احمد', 'بن', 'وفاء', '.', 'في', 'ابن', 'احمد', 'بن', 'محمد', 'بن', 'محمد', 'بن', 'وفاء', '.']"
120,," إبراهيم بن خليل الكردي . هو الذي قبله .
",1,49," حرف الألف 
",,,False,False,alt,"['ابراهيم', 'بن', 'خليل', 'الكردي', '.', 'هو', 'الذي', 'قبله', '.']"
128,," إبراهيم بن سالم العبادي ثم القاهري الأزبكي شقيق أحمد ومجد الآتيين .
",1,50," حرف الألف 
",,,False,False,alt,"['ابراهيم', 'بن', 'سالم', 'العبادي', 'ثم', 'القاهري', 'الازبكي', 'شقيق', 'احمد', 'ومجد', 'الاتيين', '.']"
179,," إبراهيم بن علبك . في ابن أحمد بن غنائم .
",1,73," حرف الألف 
",,,False,False,alt,"['ابراهيم', 'بن', 'علبك', '.', 'في', 'ابن', 'احمد', 'بن', 'غنائم', '.']"
364,," إبراهيم صارم الدين بن ناصر الدين بن الحسام الصقري . مضى فيمن أبوه محمد
 .
",1,182," حرف الألف 
",,,False,False,alt,"['ابراهيم', 'صارم', 'الدين', 'بن', 'ناصر', 'الدين', 'بن', 'الحسام', 'الصقري', '.', 'مضى', 'فيمن', 'ابوه', 'محمد', '.']"
365,," إبراهيم ابن أخي ابن الزمن . هو ابن عبد الكريم بن عمر . مضى .
",1,182," حرف الألف 
",,,False,False,alt,"['ابراهيم', 'ابن', 'اخي', 'ابن', 'الزمن', '.', 'هو', 'ابن', 'عبد', 'الكريم', 'بن', 'عمر', '.', 'مضى', '.']"
372,," إبراهيم بن الحموي . في ابن محمود بن عبد الرحيم بن أبي بكر .
",1,183," حرف الألف 
",,,False,False,alt,"['ابراهيم', 'بن', 'الحموي', '.', 'في', 'ابن', 'محمود', 'بن', 'عبد', 'الرحيم', 'بن', 'ابي', 'بكر', '.']"
373,," إبراهيم بن خطيب عذراء . في ابن محمد بن عيسى بن عمر .
",1,183," حرف الألف 
",,,False,False,alt,"['ابراهيم', 'بن', 'خطيب', 'عذراء', '.', 'في', 'ابن', 'محمد', 'بن', 'عيسى', 'بن', 'عمر', '.']"
374,," إبراهيم بن قنديل . يأتي قريبا في إبراهيم الشامي .
",1,183," حرف الألف 
",,,False,False,alt,"['ابراهيم', 'بن', 'قنديل', '.', 'ياتي', 'قريبا', 'في', 'ابراهيم', 'الشامي', '.']"
385,," إبراهيم برهان الدين الحنبلي الصواف . مضى في ابن عمر .
",1,185," حرف الألف 
",,,False,False,alt,"['ابراهيم', 'برهان', 'الدين', 'الحنبلي', 'الصواف', '.', 'مضى', 'في', 'ابن', 'عمر', '.']"
399,," إبراهيم الحتاتي مضى في ابن أحمد بن محمد .
",1,186," حرف الألف 
",,,False,False,alt,"['ابراهيم', 'الحتاتي', 'مضى', 'في', 'ابن', 'احمد', 'بن', 'محمد', '.']"
401,," إبراهيم الخدري . في الأخضري وأنه ابن محمد .
",1,186," حرف الألف 
",,,False,False,alt,"['ابراهيم', 'الخدري', '.', 'في', 'الاخضري', 'وانه', 'ابن', 'محمد', '.']"
