year,month,month_str,day,category,match,place
801.0,,,,, والسموات بعد فهذا كتاب من اهم ما به يعتني جمعت فيه من علمته من اهل هذا القرن الذي اوله سنة احدى وثمانمائة,
3.0,,,,death, او محيي الدين ممن المصنف عليه محتوى واعرضت لذلك عن الافصاح بالمعطوف عليه للعلم به فاقتصر على قولي مات سنة ثلاث,
,,,20.0,, بن سعد بن عيسى الكيلاني الاصل ثم المكي قطنها نحوا من عشرين سنة,
67.0,11,ذي القعدة,,death, مات في ذي القعدة سنة سبع وستين,
87.0,12,ذي الحجة,5.0,death, مات في ليلة الاربعاء خامس ذي الحجة سنة سبع وثمانين,
,,,,death, بن عبد الرحمن بن حاجي الوركاني مات سنة بضع,ضع
840.0,End of,اخر,,birth, عثمان بن ابي بكر بن عبد الله بن ظهيرة بن احمد بن عطية بن ظهيرة القرشي المكي ولد في اخر سنة اربعين وثمانمائة,
93.0,,,,, بن احمد البصري نزيل مكة والاتي ابوه واخواه محمد واسماعيل ويعرف بابن زقزق ممن قطن مكة ورايته بها في سنة ثلاث وتسعين,
98.0,9,رمضان,,death, مات في رمضان سنة ثمان وتسعين,
88.0,,,,samia, قضاء واعتبار عرض على الخرقى وقرا على بعض البخارى سوى ما سمعه على منه ومن غيره كل ذلك في سنة ثمان وثمانين,
85.0,,,,death, مات تقريبا سنة خمس وثمانين بدمشق,دمشق
806.0,3,ربيع الاول,12.0,birth, الازهري المالكي سبط الزين عبيد السكالسي وولد محمد الاتي ويعرف بالابودري ولد فيما ظنه مما ذكره له والده في ثاني عشر ربيع الاول سنة ست وثمانمائة,
59.0,2,صفر,3.0,death, مات في ثالث صفر سنة تسع وخمسين,
784.0,9,رمضان,4.0,birth, ولد في رابع رمضان سنة اربع وثمانين وسبعمائة بالقاهرة,القاهرة
42.0,5,جمادى الاولى,,, له ايام امرته بالقرب من الجامع المذكور للخطابة بجامع طولون بعد عزل ابي اليسر بن النقاش عنها وذلك في جمادى الاولى سنة اثنتين واربعين,
44.0,2,صفر,,, مع مشيخة الميعادية ايضا ولخطبة جامع القلعة في اول جمعة في صفر سنة اربع واربعين,
67.0,,,,death, صدر منه فنهره القاضي وقال له انك افتيت في الاحكام بدون اذن مني ولم يزل خاملا حتى مات في سنة سبع وستين,
841.0,3,ربيع الاول,,birth, ولد في ربيع الاول سنة احدى واربعين وثمانمائة بدمشق,دمشق
74.0,,,,, عن النجم بن قاضي عجلون وجمع العشر على والده والسبع على الشمس بن عمران ثم بالقاهرة اذ قدمها في سنة اربع وسبعين,
94.0,9,رمضان,2.0,death, مات في ليلة الجمعة ثاني رمضان سنة اربع وتسعين بدمشق,دمشق
99.0,,,,samia, الفقيه برهان الدين بن قطب الدين القلقشندي الاصل المصري الشافعي الاطروش اخو شيخنا العلاء على الاتي واخوته وسمع في سنة تسع وتسعين بعض,عض
52.0,12,ذي الحجة,12.0,death, وكتب المنسوب وينزل في صوفية البيبرسية والجمالية وتكسب باقراء الاطفال مدة وكان خيرا اجاز لي ومات في يوم الاحد ثاني عشر ذي الحجة سنة اثنتين وخمسين,
66.0,,,,death, مات في سنة ست وستين,
82.0,3,ربيع الاول,12.0,death, وحينئذ حمل من بيت الدوادار في قفص الى الجمالية فلم يلبث ان مات على حين غفلة في يوم الثلاثاء ثاني عشر ربيع الاول سنة اثنتين وثمانين,
85.0,11,ذي القعدة,9.0,death, شدة الفقر والتساهل وهو ممن له اليد الشلاء في الكنيسة ولا زال في تقهقر حتى مات في يوم الاربعاء تاسع ذي القعدة سنة خمس وثمانين بحارة,حارة
1.0,,,,samia, شيخه الى حلب فسمع بها من الحافظ البرهان سبط ابن العجمي وببعلبك من التاج بن بردس ولقى شيخنا في سنة احد,
88.0,10,شوال,2.0,death, مات في العشر الثاني من شوال سنة ثمان وثمانين بدمشق,دمشق
89.0,,,,samia, من بني الامام شهاب الدين وشقيق الكمال محمد ممن سمع في البخاري بالظاهرية واختص بالكمال ناظر الجيش وحج معه في سنة تسع وثمانين,
16.0,,,,death, بن احمد بن خضر الصالحي الحنفي مات سنة ست عشرة,
68.0,7,رجب,10.0,death, عبادة وطاهر وغيرهما وينزل في الخانقاه الجمالية وغيرها وحج وجاور واقتصر على التكسب مع العبادة والتلاوة حتى مات في عشر رجب سنة ثمان وستين,
777.0,,,,birth, ولد في سنة سبع وسبعين وسبعمائة,
31.0,End of,اخر,,, التقى بن قاضي شهبة ثم اعيد لقضاء صيداء ثم عزل وولى قضاء حماه مرة بعد اخرى وكان قاضيها في سنة احدى وثلاثين,
35.0,,,,istaqara, ثم قدم دمشق وسعى في النيابة بها ايام الشهاب بن المحمرة فلم يجبه فلما استقر ابن البارزي في سنة خمس وثلاثين,
40.0,2,صفر,,, وبين غرمائه فما تيسر له ذلك واخترمته المنية يقال من حمرة طلعت فيه في اخر نهار الثلاثاء حادي عشرى صفر سنة اربعين,
15.0,,,,, قيل وحدث بالاجازة العامة عن الفخر بن البخاري روى عنه التقى ابو بكر القلقشندي وقال انه بقي الى حدود سنة خمس عشرة,
80.0,,,,death, طريق والده ولا قريبا منها بل كان متصرفا بابواب القضاة وبيده نصف امامة الرباط بالبيبرسية حتى مات قريبا من سنة ثمانين,
62.0,2,صفر,,death, الدواوين ورايت نسبه هكذا بخط ابن قمر وقد سمع بقراءته على جارهم البدر بن البلسي سداسيات الرازي ومات في صفر سنة اثنتين وستين,
28.0,,,,, الحرمين اخذ القراات عن الشيخ محمد الكيلاني بالمدينة والشهاب الشوابطي بمكة ومن قبلهما عن الزين بن عياش بل في سنة ثمان وعشرين,
23.0,,,,, سليمان الحلبي بن امير حاج والتاج بن تمرية وبخانقاه سرياقوس عن الكمال محمود الهندي ومن قبلهم عن الزراتيتي في سنة ثلاث وعشرين,
44.0,9,رمضان,,qaraa, على ابي الفتح المراغي والتقى بن فهد ومما قرا عليه مسند احمد وعلى اولهما صحيح مسلم بالروضة النبوية في رمضان سنة اربع واربعين,
48.0,,,,qaraa, ومكة واخذ عن شيخنا وغيره بالقاهرة كالعز بن الفرات ومما قرا عليه الاربعين التي انتقاها شيخنا من مسلم في سنة ثمان واربعين,
59.0,,,,qaraa, عليه من اول الترمذي الى الصلاة التي تليها وقراه بتمامه على الجمال عبد الله بن جماعة ببيت المقدس في سنة تسع وخمسين,
32.0,9,رمضان,,qaraa, وقرا قبل ذلك في رمضان سنة اثنتين وثلاثين,
63.0,1,محرم,3.0,death, ذلك كف السيد عن الاقامة بالمدينة ولزم مكة مديما للطواف والعبادة والاقراء حتى مات بها في مغرب ليلة الجمعة ثالث المحرم سنة ثلاث وستين,
806.0,,,,death, مات كما قاله شيخنا في ترجمة ولده قبله بعشر سنين فيكون موته سنة ست وثمانمائة,
812.0,7,رجب,,birth, عثمان كان والده ما ورديا ذا حشمة وشكالة حسنة يعرف بصهر ابن قمر الدولة وبوكيل الطنبذي فولد هذا في رجب سنة اثنتي عشرة وثمانمائة بالقاهرة,القاهرة
73.0,End of,اخر,,, مع وضاءة وتواضع ولاوصافه التي انفرد بها عن رفقته صار اوحد اهل الديوان وقد اثكل عدة اولاد اخرها في سنة ثلاث وسبعين,
84.0,1,محرم,,, في البحر فاقام على طريقة حميدة من الطواف والصلاة وكثرة التلاوة الي ان ادركه اجله وهو محرم عشية عرفة سنة اربع وثمانين,
800.0,5,جمادى الاولى,16.0,birth, ولد في سادس عشر جمادى الاولى سنة ثمانمائة بالقاهرة,القاهرة
66.0,3,ربيع الاول,,death, ومات في اوائل ربيع الاول سنة ست وستين,
77.0,,,,, قبلها وقدم القاهرة وحفظ القران وكتبا وتفقه بالجمال الاسنوي ولازم البلقيني ورحل بعد الاسنوي الى الشهاب الاذرعي بحلب في سنة سبع وسبعين,
8.0,End of,اخر,,qaraa, والسابقية وقرات عليه ورايته امة يستحضر كثيرا من الفقه خصوصا كلام المتاخرين ولم ار بها في ذلك الوقت وهو سنة ثمان,
77.0,,,,death, الاسنائي عليه انتهى والاسنوي كان قد مات قبل ارتحاله وكذا قال البرهان سبط ابن العجمي انه قدم عليهم في سنة سبع وسبعين,
85.0,,,,, حين الكتابة فلما وصل الى الطلاق ترك حياءا من مصنفه لكونه كان نازلا عنده وقال محيي الدين البصروي فارقته سنة خمس وثمانين,
23.0,,,,, الغني بن ابي الفرج مدرسته التي بين السورين من القاهرة اعطى مشيختها للشمس البرماوي فباشرها مدة ثم تحول في سنة ثلاث وعشرين,
25.0,7,رجب,14.0,death, اخر عمره واقبل على التلاوة والتحدث وكان ورده في كل يوم ختمه او قريبها حتى مات في يوم السبت رابع عشر رجب سنة خمس وعشرين,
780.0,,,,birth, بن عمر الاديب برهان الدين ابو محمد بن الشهاب الكناني العسقلاني الاصل المليجي القاهري الشافعي خطيب جامع الاقمر ولد سنة ثمانين وسبعمائة,
35.0,7,رجب,,samia, وسمع الحديث على الزين القمني وغيره وجلس مع الشهود ثم ترك وخطب بجامع الاقمر دهرا وحج مع الرجبية في سنة خمس وثلاثين,
71.0,End of,اخر,,death, مات في اخر سنة احدى وسبعين,
793.0,,,,birth, ولد في سنة ثلاث وتسعين وسبعمائة,
63.0,10,شوال,,death, الزين العراقي والهيتمي والتنوخي ختمه وحدث سمع منه الفضلاء سمعت عليه ختم الصحيح وحج وجاور وكان خيرا مات في شوال سنة ثلاث وستين,
780.0,,,,birth, الخانقاه الصلاحية ببيت المقدس ووالد النجم محمد الاتي وابن اخي الشرف عيسى قاضي المقدس ويعرف كسلفه بابن غانم ولد سنة ثمانين وسبعمائة,
89.0,,,,death, ومات ابوه وهو وابنه ناصر الدين في يوم واحد من سنة تسع وثمانين,
97.0,End of,اخر,,istaqara, الخير بن العلائي والتنوخي والعراقي والبلقيني وابن الملقن واخرين واستقر في المشيخة المشار اليها بعد موت عمه عيسى في سنة سبع وتسعين,
19.0,,,,, وصفه بالمؤدب بالموحدة مجودا فكانه كان مع كونه مؤذنا يؤدب الابناء وكذا وصف بالمقرئ ورايت من عرض عليه في سنة تسع عشرة,
753.0,,,,birth, ولد سنة ثلاث وخمسين وسبعمائة,
54.0,2,صفر,6.0,birth, ورايت بخط ابيه ولد ابراهيم الاصغر في سادس صفر سنة اربع وخمسين,
19.0,12,ذي الحجة,,death, مات بالقدس في ذي الحجة سنة تسع عشرة,
7.0,,,,, وبخط النجم ابن فهد وغيره سنة سبع بتقديم,تقديم
