year,month,month_str,day,category,match,place
3.0,,,,ijaza, يذم تركيبه وكذا اخذ الفقه وغيره واظن من شيوخه فيه الصدر سليمان الابشيطي فقد رايته شهد عليه في اجازة سنة ثلاث,
30.0,,,,ijaza, وهذا ان كان الحجار اجاز له فتكون سنة ثلاثين,
29.0,,,,ijaza, وزاد اجاز لنا في سنة تسع وعشرين,
54.0,,,,ijaza, واجاز له ولاخيه في سنة اربع وخمسين,
26.0,,,,ijaza, وسماع الثاني على الميدومي وجزء ابن عرفة بحضور اولهما واجازة الثاني منه بقراءة ابن ناصر الدين في ايام التشريق سنة ست وعشرين بالخليل,الخليل
73.0,,,,ijaza, اجازة مشتملة على خطا كبير وممن اخذ عنه في سنة ثلاث وسبعين,
14.0,9,رمضان,,ijaza, العز عبد السلام البغدادي وغيره ولبس الخرقة من الزين رمضان الادكاوي واجاز له وهو طفل باستدعاء مؤرخ بجمادى الاولى سنة اربع عشرة,
27.0,End of,اخر,,ijaza, الزين القبابي ومن الخليل التدمري وابراهيم بن حجي في اخرين منها ومن غيرها بل اجاز له في جملة اخوته سنة سبع وعشرين,
21.0,,,,ijaza, الرحمن بن الزعبوب انابه الحجار وحدث لقيته ببعلبك في القدمة الاولى فقرات عليه بعض الصحيح وقد رايته اجاز في سنة احدى وعشرين,
36.0,9,رمضان,,ijaza, غير مدافع اجاز لاولادي وبيننا مكاتبات ومودة حفظه الله تعالى قال ثم اجتمعت به في قدومي الى حلب في رمضان سنة ست وثلاثين,
36.0,,,,ijaza, بها من خال والده الجمال المرشدي وابي المعالي الصالحي وابي شعر الحنبلي وابي الفتح المراغي وجماعة واجاز له في سنة ست وثلاثين,
27.0,End of,اخر,,ijaza, من اسحاق بن يحيى الامدي ومحمد بن عبد الله بن المحب وزينب ابنة الكمال في اخرين واجاز له في سنة سبع وعشرين,
21.0,,,,ijaza, وعاش حتى اجاز في استدعاء فيه ابن شيخنا سنة احدى وعشرين,
19.0,,,,ijaza, ذكره ابن فهد وانه اجاز لهم في سنة تسع عشرة,
21.0,,,,ijaza, وسمع على ابن صديق واجاز في استدعاء فيه شيخنا سنة احدى وعشرين,
5.0,,,,ijaza, واجاز له قبل ذلك في سنة خمس,
793.0,,,,ijaza, ورايت بخطه اجازة لمن عرض عليه في سنة ثلاث وتسعين وسبعمائة,
806.0,,,,ijaza, واجاز لجماعة منهم التقي الشمني وذلك في سنة ست وثمانمائة,
,,,,ijaza, سمعت من نظمه ومن فوائده وسمع علي بزبيد جزءا من الحديث وسمع بقراءتي واجاز في استدعاء اولادي في اول سنة,
96.0,,,,ijaza, الهندي وفضل ودرس الناس وشغل الناس ثم صاهر القلنجي وناب في الحكم ووقع على القضاء ورايته شهد في اجازة مؤرخة سنة ست وتسعين,
97.0,,,,ijaza, واجاز لشيخنا قديما في سنة سبع وتسعين,
99.0,,,,ijaza, ومن ذلك الفية الحديث بكمالها بحثا وقرا على جملة من اوائل الكتب وكتبت له اجازة في كراسة والان في سنة تسع وتسعين,
802.0,,,,ijaza, بن القطب محمد بن احمد بن علي القيسي القسطلاني امه امنة ابنة احمد بن يوسف المدني اجاز له في سنة اثنتين وثمانمائة,
12.0,12,ذي الحجة,,ijaza, وتحرر وفاته فانه اجاز في استدعاء لابن فهد مؤرخ بذي الحجة سنة اثنتي عشرة,
21.0,End of,اخر,,ijaza, منه الفضلاء كابن موسى الحافظ ورفيقه شيخنا الابي والتقي ابي بكر القلقشندي وحدثنا عنه واخرين اجاز لشيخنا ولولده في سنة احدى وعشرين,
75.0,,,,ijaza, وصار رحلة تلك البلاد وقصده شيخنا فمات قبل وصوله لكنه اجاز له بل كان يظن حضوره عليه ببيت المقدس سنة خمس وسبعين,
807.0,,,,ijaza, الشهاب الخيفي بالمعجمة ثم تحتانية بعدها فاء المكي حفظ القران وتنزل مع قراء سبع سودون الطياري واجاز له في سنة سبع وثمانمائة,
2.0,,,,ijaza, ذكره شيخنا في معجمه وقال انها اجاز له في استدعاء الصرخدي سنة اثنتين,
98.0,,,,ijaza, بن محمد الملقي كما اثبته ابن الجزري في ترجمة يحيى الى المفلحون قال شيخنا في معجمه اجاز لي في سنة ثمان وتسعين,
36.0,,,,ijaza, واجاز له في سنة ست وثلاثين,
29.0,,,,ijaza, فقال احمد بن عبد الرحمن بن الناظر الحنبلي سمع من المسند الحنبلي على احمد بن جوخي وحدث اجازنا في سنة تسع وعشرين,
18.0,,,,ijaza, اجاز له الولي العراقي في سنة ثمان عشرة بعد,عد
61.0,,,,ijaza, ودخل القاهرة والاسكندرية وسمع بها من حسن بن علي العمري واجاز له في سنة احدى وستين,
11.0,End of,اخر,,ijaza, علي بن محمد بن السيف واجاز له العراقي والهيثمي والصدر المناوي واخرون واشتغل يسيرا وتنزل طالبا بالصلاحية فقيها في سنة احدى عشرة,
29.0,,,,ijaza, شعر وابي المعالي الصالحي وابي الفتح المراغي والتقي بن فهد وابراهيم الزمزمي وابن اخيه عبد السلام واجاز له في سنة تسع وعشرين,
,,,,ijaza, وسمع من الزينين ابي بكر المراغي والطبري والشمس الشامي وابن الجزري والجمال بن ظهيرة واجاز له في سنة,
806.0,,,,ijaza, واما بالاجازة فكثير كالجمال ابي الفضل محمد بن علي النويري وممن قبلهم كان ابن صديق اجاز له في سنة ست وثمانمائة,
36.0,7,رجب,10.0,ijaza, بل تردد لشيخنا في الرواية والدراية وقرا على السيد النسابة البخاري واجاز له في استدعاء ابن فهد المؤرخ بتاسع عشري رجب سنة ست وثلاثين,
61.0,5,جمادى الاولى,,ijaza, اجازه بها وباقرائها وبماله من تصنيف نظما ونثرا وذلك في جمادى الاولى سنة احدى وستين,
97.0,,,,ijaza, ذكره شيخنا في معجمه وقال انه اجاز له في سنة سبع وتسعين,
