,category,name,context
0,زاوية,الشيخ, سنة ثلاث وتسعين مبطونا ببلد الخليل ودفن في التربة التي بزاوية الشيخ
1,دير,العشاري, ولد في سنة ست عشرة وثمانمائة تقريبا بدير العشاري
2,رباط,السدرة, سنة اربع وثمانين بعد انهاء مدرسته التي انشئت له بمكان رباط السدرة
3,زاوية,الحنفي, يبكي هذا مع كون جماعة من شيوخه كالشهاب الكلوتاتي في زاوية الحنفي
4,رباط,الصفا, الله وممن قرا عليه وجيره الفخر السلمي ووقف كتبا حسنة برباط الصفا
5,رباط,السدرة, وادب الاطفال بمكة سنين كثيرة هي محصورة في ثلاثين وسكن برباط السدرة
6,زاوية,الشيخ, بعد ان صلى العشاء ايماء وصلى عليه من الغد ودفن بزاوية الشيخ
7,رباط,العز, نحو اربع عشرة سنة متوالية متصلة بموته على طريقة حسنة برباط العز
8,رباط,الحوري, المريدين وعلى مهنا بن ابي بكر بن ابراهيم خادم الفقراء برباط الحوري
9,رباط,البدر, وكذا بحث البهجة والتلخيص وغيرهما على ولده الجمال محمد وسكن رباط البدر
10,رباط,الخوزي, وينطوي على خير وبلغني انه وقف عدة كتب وجعل مقرها برباط الخوزي
11,زاوية,الشيخ, عمل البرددارية في الخاص وتمول وانشا دارا حسنة بالقرب من زاوية الشيخ
12,زاوية,الدركاه, الحديث على الشهاب بن الناصح والشمس محمد بن سعيد شيخ زاوية الدركاه
13,رباط,الاثار, سمعت عليه كتاب الثمانين للاجراء بقراءة التقي القلقشندي برباط الاثار
14,رباط,السدرة, وحصل منه فضل ما وذلك مجلس للتدريس بالمسجد الحرام لختام رباط السدرة
15,رباط,السلطان, فارق مكة في موسم سنة اثنتين وتسعين استخلفه في مشيخة رباط السلطان
16,رباط,الاثار, ودرس برباط الاثار
17,زاوية,الشرف, المدني بن فرحون وجوده على جماعة منهم الفقيه بركة المقيم بزاوية الشرف
18,خانقاه,المحسني, وحدث سمع منه الفضلاء وحج قبل القرن وولي مشيخة خانقاه المحسني
19,رباط,الدمشقية, حتى مات في يوم الخميس مستهل صفر سنة خمس بمنزله برباط الدمشقية
20,رباط,السدرة, يد المنفصل بعد احضارها ومشاهدتها ثم اضيف اليه نظر الحرم ورباط السدرة
21,زاوية,المتبولي, بن موسى الشهاب البيروتي ثم الخانكي الشافعي قدم القاهرة فنزل زاوية المتبولي
22,رباط,الموفى, نزيل مكة وشيخ رباط الموفى
23,رباط,الموفق, في بعض السنين الى المدينة النبوية زائرا واقام بها وقتا برباط الموفق
24,زاوية,القلندرية, في صفر سنة احدى وسبعين وقد زاد على الستين ودفن بزاوية القلندرية
25,زاوية,الشيخ, لدرب الركراكي من المقس وجامع بالكبش وهو خاصة باسم السلطان وزاوية الشيخ
26,زاوية,الشيخ, سمع عليه القدماء وممن قرا عليه السنن الكبرى للنسائي الكلوتاتي بزاوية الشيخ
27,زاوية,القادرية, المقيمين بزاوية عدي بن مسافر خارج القرافة الصغرى المشهورة الان بزاوية القادرية
28,رباط,السيد, تنزل برباط السيد
29,دير,الزبيدي, كل ذلك على محمد بن ابي بكر بن بدير الزبيدي
30,زاوية,الرفاعية, وصار يتردد الى السلطان ويقعد بمجلسه وسكنه بالقرب من زاوية الرفاعية
31,رباط,الاثار, المليجي والمجد اسماعيل الحنفي وغيرهم ولم يزل بها حتى استوطن رباط الاثار
32,زاوية,القادرية, ولقيته في زاوية القادرية
33,رباط,الموفق, المغربي نزيل رباط الموفق
34,زاوية,الشيخ, والشمس محمد بن محمد بن محمود المدعو بالشيخ البخاري نزيل زاوية الشيخ
35,رباط,الموفق, علي بن حسن بن علي العجيسي البجائي المالكي الفقيه نزيل رباط الموفق
36,رباط,الموفق, محمد بن عبد الله السلجماسي المغربي نزيل مكة فهرس كتب رباط الموفق
37,زاوية,البرهان, وقدم القاهرة فاقام بزاوية البرهان
38,زاوية,العصياتي, ليلة السبت سابع شعبان سنة اثنتين وتسعين ودفن من الغد بزاوية العصياتي
39,خانقاه,الصالح, وولي مشيخة خانقاه الصالح
40,زاوية,الشيخ, وصلى عليه من الغد في مشهد حافل جدا على باب زاوية الشيخ
41,زاوية,الشيخ, المقدس مرارا ودخل اسكندرية وتنزل في سعيد السعداء وولي النظر بزاوية الشيخ
42,زاوية,الركراكي, مع الانجماع بمنزله فلما استقر اللقاني باشر وابتكر مجلسا تجاه زاوية الركراكي
43,رباط,الموفق, عن محمد بن موسى بن عائد الوانوعي نزيل مكة وشيخ رباط الموفق
44,زاوية,الشيخ, ات بدمشق بخلوته من زاوية الشيخ
45,زاوية,الحمصي, شيخ زاوية الحمصي
46,رباط,السدرة, بن فهد في معجمه وهو الذي نسبه دربنديا وقال نزيل رباط السدرة
47,رباط,السدرة, المدينة في بعض السنين وعاد فيها وباشر في مكة وقف رباط السدرة
48,رباط,السيد, اصله من الينبوع وانه شريف حسني وقد ولي بمكة مشيخة رباط السيد
49,زاوية,الشيخ, واول ما نشا اقرا الاطفال في زاوية الشيخ
50,زاوية,الابناسي, الخطابة بجامع عمرو عن شيخه ثم عن ولده وابنيه وفي زاوية الابناسي
51,رباط,الموفق, يوسف بن محمد بن علي الصنهاجي المغربي نزيل مكة في رباط الموفق
52,رباط,الموفق, المدينة في درب الماشي وعلى مواراة الطرحى واشياء كوقف على رباط الموفق
53,زاوية,القلندرية, زاد على السبعين ودفن من الغد بمقابر باب الصغير في زاوية القلندرية
54,رباط,الظاهرية, الشافعي ويعرف بابن الشيخة لكون امه واسمها فائدة كانت شيخة رباط الظاهرية
55,رباط,السدرة, اليمن مرارا الى ان اثرى وكثر ماله واستقر في نظر رباط السدرة
56,زاوية,الشيخ, نور الدين بن شمس الدين السكندري الاصل المصري الشافعي نزيل زاوية الشيخ
57,زاوية,الشيخ, وقطن زاوية الشيخ
58,زاوية,المتبولي, بها ثم تحول قبل بلوغه مع والده الى القاهرة فنزل زاوية المتبولي
59,رباط,السدرة, كتب بالوصية به الى القاضي وغيره فانزله ابن ابي اليمن برباط السدرة
60,رباط,السلطان, حاله قبل ذلك عند ابن الزمن بحيث تكلم في مباشرة رباط السلطان
61,زاوية,الشيخ, كان شيخ الميعاد بزاوية الشيخ
62,رباط,المغاربة, الحيحي المغربي شيخ رباط المغاربة
63,رباط,العباس, المحلي ثم المكي العطار بباب السلام والساكن برباط العباس
64,زاوية,التقي, وبيده حسبة دمشق ووكالة بيت المال وعدة وظائف فنزل في زاوية التقي
65,زاوية,اليسع, الدسوقي والمقام الاحمدي بمشارفة مغلباي الاشرفي اينال ويعرف بالبهلوان لهما وزاوية اليسع
66,زاوية,النبتيتي, المنقول عنه بشارته اولا وكذا عمل زاوية ظاهر الخانقاه بجوار زاوية النبتيتي
67,رباط,السلطان, وخطبه الخواجا ابن الزمن لمشيخة رباط السلطان
68,زاوية,الاطعاني, رجب سنة سبع وثمانين بعد تمرضه بالفالج قليلا ودفن بالناعورة بزاوية الاطعاني
69,زاوية,الامين, استقر في مشيخة زاوية الامين
70,زاوية,الموصلي, ممن يشتغل ويحفظ المنهاج وابوه شيخ زاوية الموصلي
71,زاوية,الشيخ, تكسب بالنساخة وبتاديب الاطفال بزاوية الشيخ
72,رباط,السدرة, ثم عن اخيه ونزل له ابوه عن تدريس يلبغا ومشيخة رباط السدرة
73,زاوية,العجمي, وقال انه اقام في زاوية العجمي
74,دير,الخليل, من جمادى الاولى سنة ثمان وثمانين وسبعمائة فيما كتبه بخطه بدير الخليل
75,زاوية,العبيسي, خارج حماة على الشمس محمد بن احمد بن الاشقر وكذا بزاوية العبيسي
76,زاوية,الشيخ, خادم زاوية الشيخ
