year,month,month_str,day,category,match,place
92.0,,,,, وحج في موسم سنة اثنتين وتسعين,
39.0,,,,birth, ولد تقريبا سنة تسع وثلاثين,
59.0,,,,, ونشا في كنف ابويه وسافر امير الركب الاول في سنة تسع وخمسين,
80.0,,,,death, مات وانا غائب بمكة في سنة وثمانين,
42.0,,,,death, مات سنة اثنتين واربعين,
37.0,7.0,رجب,,, قتل مع السيد رميثة بن محمد بن عجلان ببلاد الشرق في رجب سنة سبع وثلاثين,
86.0,,,,laqiya, بن اصيل الحسني الجرجاني الاصل الشيرازي المولد والدار الحنفي وابوه سبط الاستاذ السيد الشريف الجرجاني الشهير لقيني بمكة في سنة ست وثمانين,
15.0,,,,samia, وحدث سمع منه الفضلاء كابن موسى وشيخنا الابي وكان سماعهما في سنة خمس عشرة,
71.0,,,,death, مات بمكة سنة احدى وسبعين,
816.0,7.0,رجب,,birth, ولد في رجب سنة ست عشرة وثمانمائة,
47.0,,,,, ولم يزل على جلالته وعلو مكانته الى ان ابتدا به الوعك في سنة سبع واربعين,
,,,,, فدام قدر نصف سنة,
53.0,3.0,ربيع الاول,10.0,death, مات في يوم السبت عاشر ربيع الاول سنة ثلاث وخمسين بالطاعون,الطاعون
