year,month,month_str,day,category,match,place
807,3.0,ربيع الاول,17.0,birth, ولد في سابع عشر ربيع الاول سنة سبع وثمانمائة بمكة,مكة
23,5.0,جمادى الاولى,,samia, ابو الفضل بن ظهيرة سمع عليه الاربعين التساعية لابن جماعة ومما سمعه على ابن سلامة بقراءة الزين رضوان في جمادى الاولى سنة ثلاث وعشرين بمكة,مكة
28,,,,, واليسير على الزراتيتي وابن سلامة وحضر دروسه وكذا دروس الجمال بن ظهيرة وابنة المحب في الفقه وارتحل في موسم سنة ثمان وعشرين,
25,,,,, ودخل الشام في اوائل سنة خمس وعشرين,
27,,,,qaraa, لفظه في البخاري وغيره وقرا على الشهاب الاعزازي النحو وحضر عند ابن امين الدولة وعبد الملك البابي ورجع في سنة سبع وعشرين,
34,,,,qaraa, منها الى الشام ثم الى القاهرة ثم الى مكة وقرا فيها على النجم الواسطي بن السكاكيني الحاوي بحثا في سنة اربع وثلاثين,
29,,,,, الفية ابن ملك والتلخيص وعروض الاندلسي النثر والنظم ومقدمة له في النحو بحثا وعلى الشمس البرماوي ايضا لما جاور في سنة تسع وعشرين,
30,,,,, وسافر من مكة لبلاد بجيلة غير مرة اولها في سنة ثلاثين,
34,,,,, ثم في سنة اربع وثلاثين,
71,,,,, ثم في سنة احدى وسبعين,
33,,,,, وكذا دخل تعز وعدن وزبيد وابيات حسين وغيرها من بلاد اليمن في سنة ثلاث وثلاثين,
23,5.0,جمادى الاولى,,, ورغب له والده قبل وفاته بثلاثة ايام او اكثر في جمادى الاولى سنة ثلاث وعشرين,
17,9.0,رمضان,,, من الامامة بمقام ابرهيم ولم يتفق له مباشرتها لصغر سنه مع انه كان ناب فيها اظنه في رمضان خاصة سنة سبع عشرة,
27,,,,, الى ان عاد من القاهرة في موسم سنة سبع وعشرين,
45,2.0,صفر,,death, عم والده عبد الهادي بن ابي اليمن محمد بن احمد بن الرضي الطبري ثم استقل بها بعد موته في صفر سنة خمس واربعين,
47,11.0,ذي القعدة,,death, الى ان مات وولي في اثناء ذلك قضاء مكة واعمالها كجدة عوضا عن ابي السعادات بن ظهيرة في عشرى ذي القعدة سنة سبع واربعين,
59,9.0,رمضان,,, تليها بالبرهان السوبيني ووصل العلم بذلك لمكة في ليلة الاثنين تاسع عشر شعبان منها ثم اعيد في ثالث عشرى رمضان سنة تسع وخمسين,
62,,,,, مقتصراص على الامامة وربما درس وافتى بل وخطب مرة بالمسجد الحرام نيابة عن الاخوين ابي القسم وابي الفضل في سنة اثنتين وستين,
92,,,,birth, المحب النويري مدة وربما ناب عنه كل من ولديه ابي السعادات ومكرم فيها حتى رضي عن الخطيب في موسم سنة اثنتين وتسعين,
94,2.0,صفر,,death, ومات في اثناء صفر سنة اربع وتسعين,
