,index,value_counts
0,الشام,617
1,مصر,597
2,اليمن,413
3,المعلاة,199
4,الهند,131
5,المحلة,122
6,الNOAN,121
7,جده,109
8,الأزهر,100
9,المغرب,99
10,صفد,96
11,البيبرسية,93
12,الغربية,87
13,القرافة,84
14,الإسكندرية,80
15,رقوق,78
16,بولاق,76
17,البرقوقية,74
18,الصعيد,72
19,باب النصر,72
20,البحر,72
21,تعز,70
22,حوش,69
23,الشرقية,59
26,الناصرية,57
25,برسباي,57
24,يسير,57
27,الطاعون,55
28,العراق,53
29,المنصورية,52
30,بالبقيع,50
31,الحنابلة,50
32,الصالحية,49
33,الصحراء,48
34,الجمالية,46
35,الكرك,45
36,بالصالحية,44
38,الروضة,41
37,البيمارستان,41
39,قاسيون,40
40,سرياقوس,40
41,أوائل,38
42,طيبة,38
43,بالبيبرسية,37
44,أمد,36
45,الروم,36
46,طولون,36
47,الديار,36
48,النصر,35
49,البحيرة,35
52,الحبشة,33
51,خانقاه,33
50,الصرغتمشية,33
53,الأندلس,31
54,بالخانقاه,30
55,الظاهر,30
56,الحرمين,30
57,الكعبة,29
58,حانوت,29
59,حماه,28
60,قطنها,28
61,السلطنة,27
62,بالحسينية,27
63,الاستادارية,27
64,الأشرف,26
65,الدوادارية,23
66,المنوفية,23
67,بالصرغتمشية,23
68,الرجبية,22
69,سويقه,22
70,الأقصى,22
71,الحرم,21
72,قنطرة,20
73,خراسان,20
74,بالباسطية,20
78,عجلون,19
77,البحرين,19
76,الظاهرية,19
75,طنتدا,19
79,قبرس,18
80,بالمنكوتمرية,18
81,طبلخاناه,18
82,بالمؤيدية,18
83,قوصون,18
84,ببلبيس,17
85,المنكوتمرية,17
86,الينبوع,17
90,خشقدم,16
92,أسيوط,16
91,فارس,16
88,جركس,16
89,السلام,16
87,الطور,16
93,والرملة,15
94,نوروز,15
95,منية,15
96,الحسينية,15
97,المؤمني,15
98,جوشن,15
106,تمربغا,14
103,برجوان,14
107,بالاشرفية,14
105,كيفا,14
104,اتابكية,14
102,شهبه,14
101,الثغر,14
100,بمنوف,14
99,قطيا,14
108,الكاملية,13
109,المؤيدية,13
110,الشريفية,13
111,باب الشعرية,13
112,الحجازية,13
118,الاتابكية,12
121,الجبل,12
120,وادي نخلة,12
119,قلعة الجبل,12
115,الحرم النبوي,12
117,الجيزية,12
116,بالمعجمة,12
114,باب الوزير,12
113,الشامية,12
127,بركة الرطلي,11
133,سعيد,11
131,باب الصغير,11
130,بفارسكور,11
128,لبيس,11
132,تمرلنك,11
126,الموسكي,11
123,يلبغا,11
122,باب الفراديس,11
129,كائنة,11
124,طشتمر,11
125,وادي مر,11
143,خازندارا,10
151,بماملا,10
150,فوه,10
149,الدريس,10
148,وجده,10
147,التبانة,10
146,تمراز,10
145,أذربيجان,10
144,بسرياقوس,10
141,الدوادار,10
142,القليوبية,10
140,أخور,10
139,بالحسنية,10
138,بطالا,10
137,باب زويلة,10
136,الخانقاه,10
135,الخشابية,10
134,يشبك,10
165,العجم,9
164,بسنباط,9
163,بطنتدا,9
156,القصير,9
166,باب تومأ,9
167,ك+ أبيه,9
161,بسمنود,9
162,اينال,9
152,عنتاب,9
160,ططر,9
158,المهملة,9
157,الجزائر,9
155,قسنطينة,9
154,المرستان,9
153,برصا,9
159,بالمحمودية,9
188,الكهولة,8
183,الكبش,8
184,درب,8
185,المنزلة,8
186,الزمامية,8
187,كلبرجة,8
191,ايتمش,8
189,المسجد الحرام,8
190,بخانقاه,8
192,ظاهر,8
193,الأقمر,8
194,الحديدة,8
182,الحرم الشريف,8
181,جاور,8
180,البركة,8
173,سحر,8
168,القبة,8
169,ماملا,8
170,سلخ,8
179,بالشيخونية,8
172,حوران,8
171,الأزبكية,8
174,البرلس,8
175,بالقراسنقرية,8
176,المهمندارية,8
177,بمنفلوط,8
178,بجوجر,8
215,والبيبرسية,7
210,الوراقين,7
211,أزبك,7
212,بالمقس,7
213,ارزنكان,7
214,الجمدارية,7
208,بكازرون,7
216,قانباي,7
217,الاهناسية,7
218,إسطنبول,7
219,الإسطبل,7
220,حصن,7
209,القطبية,7
195,الشمس,7
207,بالرملة,7
200,اللنكية,7
196,رودس,7
197,باب البحر,7
198,جيله,7
199,حضرة,7
206,المشرق,7
201,سنباط,7
203,بالنحرارية,7
204,نون,7
205,عرفه,7
202,القجماسية,7
250,المقسم,6
242,الخازندارية,6
243,الحياكة,6
244,اليسير,6
245,المعرة,6
246,جقمق,6
247,الفرنج,6
248,كجرات,6
249,فوت,6
252,الهمزة,6
251,أنطاكية,6
240,الحرام,6
253,قانم,6
255,صرغتمش,6
256,مشهد,6
257,الزاوية,6
259,والشيخونية,6
260,الفسطاط,6
241,قلعة,6
258,زمزم,6
239,السويقة,6
228,البهنساوية,6
238,سويقه الصاحب,6
221,أجياد,6
222,طبلخاناة,6
223,حراء,6
224,س+ نهور,6
225,بابيار,6
226,رغبة,6
227,سودون,6
254,القصرين,6
229,الرميلة,6
233,بالتنكزية,6
230,السلطان,6
235,الشيخونية,6
234,الرياض,6
236,حضرتي,6
232,المغرب الأقصى,6
231,NOAN,6
237,بركة,6
310,الوجه البحري,5
316,زاوية,5
317,تنكز,5
315,الموطأ,5
314,س+ نقر,5
313,وخازندارا,5
312,السفح,5
311,حج,5
307,المقطم,5
309,الظاهر رقوق,5
308,مصرة,5
319,الفسقية,5
306,سخا,5
305,بتتا,5
304,بادكو,5
303,الجون,5
302,النحرارية,5
301,دقماق,5
318,آب,5
323,يبرود,5
320,قنطرة الموسكي,5
332,البقيع,5
300,الزبير,5
338,تركيا,5
337,شعبان,5
336,المحمل,5
335,السابقية,5
334,طوخ,5
333,الصليبة,5
331,المتوسط,5
321,الحجوبية,5
330,مراكش,5
328,نخلة,5
327,الحمام,5
326,قديدار,5
325,القمح,5
324,الاخورية,5
322,اتابكيتها,5
329,الاسنوي,5
299,أماكن,5
298,عسكر,5
269,المزة,5
276,باب السلام,5
275,ببجاية,5
274,طيلان,5
273,الينبع,5
272,بنجالة,5
271,القبيبات,5
270,وهرموز,5
268,صعده,5
278,باب الفتوح,5
266,رمضان,5
265,بالزينية,5
264,الظاهر خشقدم,5
263,بعنتاب,5
262,البذل,5
261,بسخا,5
297,دمرداش,5
277,هرمز,5
267,قناطر السباع,5
279,ك+ رمان,5
289,اتابكا,5
296,طائفة,5
280,والصرغتمشية,5
295,والمنكوتمرية,5
294,بالفاضلية,5
292,الشفا,5
291,والصالحية,5
290,عين حنين,5
293,البرقية,5
288,الوزير,5
