,index,value_counts
0,مصر,622
1,المعلاة,201
2,الهند,136
3,الNOAN,125
4,المغرب,111
5,الأزهر,103
6,البيبرسية,93
7,القرافة,86
8,الإسكندرية,85
9,بولاق,78
10,رقوق,78
11,البرقوقية,78
12,الصعيد,72
13,باب النصر,72
14,البحر,72
15,حوش,69
16,برسباي,57
17,الطاعون,55
18,بالبقيع,51
19,الحنابلة,50
20,الكرك,50
21,بالصالحية,44
22,الحبشة,43
23,البيمارستان,41
24,قاسيون,41
26,أمد,40
25,سرياقوس,40
27,أوائل,39
28,بالبيبرسية,37
29,الديار,36
30,الروم,36
31,طولون,36
32,النصر,35
33,خانقاه,34
34,الأندلس,34
35,الصرغتمشية,33
36,الحرمين,30
37,بالخانقاه,30
38,الاستادارية,29
39,السلطنة,29
40,حانوت,29
41,حماه,28
42,قطنها,28
43,بالحسينية,27
44,الأشرف,26
45,الأقصى,24
46,الدوادارية,24
47,بالصرغتمشية,24
48,المنوفية,23
49,سويقه,22
50,الحرم,21
54,عجلون,20
53,خراسان,20
52,بالباسطية,20
51,قنطرة,20
55,طنتدا,19
56,ببلبيس,19
57,قبرس,18
58,طبلخاناه,18
59,بالمؤيدية,18
60,بالمنكوتمرية,18
61,قوصون,18
63,المنكوتمرية,17
62,الينبوع,17
64,نوروز,16
65,جركس,16
66,خشقدم,16
67,فارس,16
68,أسيوط,16
72,جوشن,15
73,المؤمني,15
74,قطيا,15
71,منية,15
69,والرملة,15
70,اتابكية,15
79,برجوان,14
82,تمربغا,14
80,الثغر,14
81,بمنوف,14
78,بالاشرفية,14
77,كيفا,14
76,شهبه,14
75,وادي نخلة,14
83,المؤيدية,13
84,باب الشعرية,13
85,الحجازية,13
86,الشريفية,13
91,قلعة الجبل,12
94,بالمعجمة,12
92,التبانة,12
93,الجيزية,12
90,تمرلنك,12
87,الاتابكية,12
88,باب الوزير,12
89,الحرم النبوي,12
101,سعيد,11
106,فوه,11
105,الدوادار,11
104,يلبغا,11
103,بركة الرطلي,11
102,باب الفراديس,11
100,بفارسكور,11
99,وادي مر,11
98,الموسكي,11
97,كائنة,11
96,باب الصغير,11
95,طشتمر,11
121,الدريس,10
120,بسرياقوس,10
119,أخور,10
115,تمراز,10
118,لبيس,10
117,بماملا,10
116,الخانقاه,10
110,بطالا,10
114,يشبك,10
112,أذربيجان,10
111,وجده,10
109,باب زويلة,10
108,خازندارا,10
107,بالحسنية,10
113,القليوبية,10
129,برصا,9
136,البرلس,9
135,باب تومأ,9
134,المهملة,9
133,المرستان,9
132,بالمحمودية,9
130,بطنتدا,9
131,ططر,9
128,العجم,9
126,ايتمش,9
125,بسنباط,9
124,بسمنود,9
123,عنتاب,9
122,ك+ أبيه,9
127,اينال,9
155,حوران,8
151,بجوجر,8
152,الكهولة,8
153,ماملا,8
154,جاور,8
158,جيله,8
156,الكبش,8
157,ظاهر,8
160,الحرم الشريف,8
149,بكازرون,8
150,الزمامية,8
159,الأقمر,8
148,بالنحرارية,8
141,بخانقاه,8
147,سلخ,8
138,أنطاكية,8
139,كلبرجة,8
140,سحر,8
137,بالشيخونية,8
142,المهمندارية,8
143,الأزبكية,8
144,بمنفلوط,8
145,بالقراسنقرية,8
146,رودس,8
170,أزبك,7
179,الشمس,7
178,حضرة,7
177,القجماسية,7
176,الجمدارية,7
175,والبيبرسية,7
174,قانباي,7
173,البهنساوية,7
171,القطبية,7
172,إسطنبول,7
169,الوراقين,7
168,بالمقس,7
167,نون,7
166,رغبة,7
165,ارزنكان,7
164,اللنكية,7
163,الإسطبل,7
162,باب البحر,7
161,الاهناسية,7
204,قلعة,6
198,س+ نهور,6
199,المغرب الأقصى,6
200,حراء,6
201,الشيخونية,6
202,طبلخاناة,6
203,السويقة,6
208,بركة,6
205,فوت,6
206,صرغتمش,6
207,اليسير,6
196,قانم,6
