token,tokenized,lemma,ne_label,pos
شربش,شربش,شربش,B-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
عبد,عبد,عَبْد,I-PERS,noun_prop
الله,الله,اللَّه,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
علي,على,عَلَى,I-PERS,prep
بن,بن,بِن,I-PERS,noun_prop
جسار,جسار,جسار,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
عبد,عبد,عَبْد,I-PERS,noun_prop
الله,الله,اللَّه,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
عمر,عمر,عُمَر,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
مسعود,مسعود,مَسعُود,I-PERS,noun_prop
العمري,العمري,عُمَرِيّ,I-PERS,noun_prop
.,.,.,O,punc
مات,مات,مات,O,verb
في,في,فِي,O,prep
جمادى,جمادى,جُمادَى,O,noun_prop
الثانية,الثانية,ثانِي,O,adj
سنة,سنة,سَنَة,O,noun
ستين,ستين,سِتّ,O,noun
خارج,خارج,خارِج,O,noun
مكة,مكة,مَكَّة,B-LOC,noun_prop
وحمل,و+_حمل,حَمَل,O,verb
فدفن,ف+_دفن,دَفَن,O,verb
بمعلاتها,ب+_معلاتها,مَعْلاة,O,noun
،,،,،,O,punc
ارخه,أرخه,رَخِي,O,verb
ابن,ابن,ٱِبْن,B-PERS,noun_prop
فهد,فهد,فَهْد,I-PERS,noun_prop
،,،,،,O,punc
وهو,و+_هو,هُوَ,O,pron
بمعجمتين,بمعجمتين,بمعجمتين,O,noun_prop
وفتحات,و+_فتحات,فَتْحَة,O,noun
ثلاث,ثلاث,ثَلاث,O,adj
.,.,.,O,punc
