place,geometry,toponyms,value_counts
Q20304005,Point(42.691944444 15.707777777),['الشام'],750.0
Q20300268,Point(42.689722222 15.698888888),['اليمن'],527.0
Q12226003,Point(43.81174 13.39874),"['اليمن', 'عزلة اليمن']",527.0
Q20300273,Point(42.811388888 16.319722222),['اليمن'],527.0
Q20300611,Point(43.438611111 16.320833333),['المحلة'],156.0
Q188336,Point(35.498333333 32.965833333),['صفد'],118.0
Q5352067,Point(32.00449 30.746557),"['الصالحية', 'الشرقية', 'الصالحية القديمة']",113.0
Q20381980,Point(52.0092563 15.5562913),"['جده', 'جدوه']",113.0
Q12184911,Point(44.1242 13.2128),"['التربة الشمايتين, التربة', 'تعز', 'التربة']",103.0
Q12187648,Point(44.30388889 13.37805556),"['الراهدة', 'تعز']",98.0
Q8047081,Point(43.27 13.4481),"['يختل', 'تعز']",98.0
Q12184367,Point(43.703378 13.440646),"['البرح', 'تعز']",98.0
Q466216,Point(44.021944444 13.578888888),"['مدينة تعز', 'تعز']",98.0
Q5269834,Point(43.416595 12.944839),"['ذباب', 'تعز']",98.0
Q12251925,Point(43.94638889 13.45416667),"['يفرس', 'يفرس', 'تعز']",98.0
Q20308902,Point(43.313611111 16.237777777),['تعز'],98.0
Q12190692,Point(-8.856944444 32.571944444),"['الاثنين الغربية, الغربية المغرب, الغربية جماعة', 'الغربية']",88.0
Q20305695,Point(43.680277777 16.970833333),['الغربية'],88.0
Q16826726,Point(36.81463889 33.87186111),['الناصرية'],63.0
Q38811,Point(46.2575 31.043888888),"['الناصريةمدينة, الناصريه, مدينة الناصرية', 'الناصرية']",63.0
Q6957278,Point(3.82889 36.7475),"['الناصرية', 'بومرداس']",63.0
Q30970847,Point(35.95 32.954722),['الناصرية'],63.0
Q20304296,Point(43.358611111 16.300555555),['الشرقية'],60.0
Q12188876,Point(10.20675 36.844274),['الشرقية'],60.0
Q210598,Point(31.88 30.976944444),"['تانيس, صان الحجر البحرية', 'الشرقية, صان الحجر القبلية', 'الشرقية', 'صان الحجر القبلية']",60.0
Q12196098,Point(31.6374 30.4875),"['بحطيط', 'الشرقية', 'بحطيط']",60.0
Q20304301,Point(43.7175 16.961944444),['الشرقية'],60.0
Q3757557,Point(31.60916667 30.51305556),"['عمريط', 'الشرقية', 'عمريط']",60.0
Q2097405,Point(31.83795 30.803188888),"['قنتير', 'الشرقية', 'قنتير']",60.0
Q4116411,Point(31.5777503 30.6320149),"['العدوة', 'العدوة', 'الشرقية']",60.0
Q20302750,Point(43.361111111 16.359166666),['العراق'],59.0
Q20309546,Point(45.533333333 14.073888888),['يسير'],59.0
Q7462413,Point(42.65055556 36.28611111),"['شيخ ابراهيم', 'العراق']",59.0
Q2271341,Point(44.415236 33.331604),"['الرصافة', 'العراق, الرصافه', 'العراق', 'الرصافة']",59.0
Q5351554,Point(-7.3 33.75),['المنصورية'],58.0
Q4704379,Point(47.994444 29.359444),"['المنصوريه الكويت', 'المنصورية']",58.0
Q289618,Point(10.113888888 35.658055555),"['صبرة, المنصورية تونس, صبرة المنصورية', 'المنصورية']",58.0
Q3286586,Point(35.568611111 33.858055555),"['منصورية المتن', 'المنصورية']",58.0
Q12189321,Point(35.423333333 33.560277777),['الصالحية'],53.0
Q10296806,Point(36.306944 35.799167),['الصالحية'],53.0
Q4120560,Point(36.29222222 33.51944444),"['حي الصالحية, صالحية دمشق', 'الصالحية']",53.0
Q4703173,Point(40.645784 34.767616),['الصالحية'],53.0
Q12185626,Point(31.865277777 31.180833333),"['جمالية الدقهلية, جماليه الدقهليه', 'الجمالية']",52.0
Q20302591,Point(43.277222222 17.203055555),['الصحراء'],49.0
Q12225451,Point(43.8444 14.36143),"['الروضة', 'عزلة الروضة']",44.0
Q17342170,Point(36.5983 34.9924),['الروضة'],44.0
Q12187931,Point(44.22399 15.43251),['الروضة'],44.0
Q12187924,Point(35.91472222 35.06777778),['الروضة'],44.0
Q12225450,Point(43.35231 15.32459),"['الروضة', 'عزلة الروضة']",44.0
Q12187930,Point(31.76122 31.32336),"['روضة, روضه, عزبة الحاجة, مدينة الروضة, مدينة الروضه', 'الروضة']",44.0
Q16826746,Point(36.021667 33.653056),['الروضة'],44.0
Q20301820,Point(43.686388888 17.007777777),['الروضة'],44.0
Q20301810,Point(44.154722222 16.928888888),['الروضة'],44.0
Q20301814,Point(45.5375 15.036944444),['الروضة'],44.0
Q101583,Point(32.610277777 25.720555555),"['طيبه', 'طيبة']",40.0
Q12221972,Point(36.166944444 33.958055555),['طيبة'],40.0
Q4703625,Point(48.7175 15.96083333),['البحيرة'],36.0
Q12197893,Point(30.39 31.439169444),"['برج رشيد', 'البحيرة', 'برج رشيد']",36.0
