,"book_id","page_openiti","page_shamela","text_nt_openiti","text_nt_shamela","similarity_score"
8546,9,2,2,"['محمد', 'بن', 'محمد', 'بن', 'احمد', 'بن', 'ابراهيم', 'بن', 'محمد', 'الفاسي', 'الشيخ', 'هبة', '.', 'مات', 'سنة', 'ثمان', 'وستين', '.']","['محمد', 'بن', 'محمد', 'بن', 'احمد', 'بن', 'ابراهيم', 'بن', 'محمد', 'الفاسي', 'الشيخ', 'هبة', '.', 'مات', 'سنة', 'ثمان', 'وستين', '.']",100
8547,10,2,2,"['محمد', 'بن', 'الشمس', 'محمد', 'بن', 'احمد', 'بن', 'احمد', 'بن', 'حسن', 'المسيري', 'الاصل', 'المكي', 'الماضي', 'ابوه', '.', 'قرا', 'في', 'القران', 'وكفلته', 'امه', 'بعد', 'ابيه', 'وسمع', 'منى', 'بمكة', 'في', 'سنة', 'ست', 'وثمانين', 'وبعدها', '.']","['محمد', 'بن', 'الشمس', 'محمد', 'بن', 'احمد', 'بن', 'احمد', 'بن', 'حسن', 'المسيري', 'الاصل', 'المكي', 'الماضي', 'ابوه', '.', 'قرا', 'في', 'القران', 'وكفلته', 'امه', 'بعد', 'ابيه', 'وسمع', 'منى', 'بمكة', 'في', 'سنة', 'ست', 'وثمانين', 'وبعدها', '.']",100
8548,11,2,2,"['محمد', 'بن', 'محمد', 'بن', 'احمد', 'بن', 'احمد', 'بن', 'صلح', 'بن', 'احمد', 'الصيداوي', 'الرفاعي', 'ويعرف', 'بابن', 'شيخ', 'الرميلة', '.', 'ممن', 'سمع', 'مني']","['محمد', 'بن', 'محمد', 'بن', 'احمد', 'بن', 'احمد', 'بن', 'صلح', 'بن', 'احمد', 'الصيداوي', 'الرفاعي', 'ويعرف', 'بابن', 'شيخ', 'الرميلة', '.', 'ممن', 'سمع', 'مني']",100
8549,12,2,2,"['محمد', 'بن', 'الجمال', 'محمد', 'بن', 'احمد', 'بن', 'احمد', 'بن', 'الضياء', 'محمد', 'بن', 'التقي', 'عمر', 'بن', 'محمد', 'بن', 'عمر', 'بن', 'الحسن', 'بن', 'عبد', 'الله', 'بن', 'احمد', 'بن', 'ميمون', 'القيسي', 'القسطلاني', 'المكي', 'المالكي', '،', 'امه', 'سعدى', 'المغربية', 'مستولدة', 'الشهاب', 'بن', 'ظهيرة', 'ام', 'ولده', 'ابي', 'عبد', 'الله', '.', 'سمع', 'في', 'سنة', 'ثلاث', 'وتسعين', 'وسبعمائة', 'من', 'فاطمة', 'ابنة', 'احمد', 'بن', 'قاسم', 'الحرازي', 'بعض', 'المصابيح', '،', 'واجاز', 'له', 'في', 'سنة', 'ثمان', 'وثمانين', 'النشاوري', 'وابن', 'الميلق', 'والعراقي', 'والهيثمي', 'والابناسي', 'واخرون', '.', 'مات', 'بمكة', 'قبل', 'الثلاثين', 'بعسر', 'البول', 'والحصى', 'مع', 'معالجته', 'بانواع', '.']","['محمد', 'بن', 'الجمال', 'محمد', 'بن', 'احمد', 'بن', 'احمد', 'بن', 'الضياء', 'محمد', 'بن', 'التقي', 'عمر', 'بن', 'محمد', 'بن', 'عمر', 'بن', 'الحسن', 'بن', 'عبد', 'الله', 'بن', 'احمد', 'بن', 'ميمون', 'القيسي', 'القسطلاني', 'المكي', 'المالكي', '،', 'امه', 'سعدى', 'المغربية', 'مستولدة', 'الشهاب', 'بن', 'ظهيرة', 'ام', 'ولده', 'ابي', 'عبد', 'الله', '.', 'سمع', 'في', 'سنة', 'ثلاث', 'وتسعين', 'وسبعمائة', 'من', 'فاطمة', 'ابنة', 'احمد', 'بن', 'قاسم', 'الحرازي', 'بعض', 'المصابيح', '،', 'واجاز', 'له', 'في', 'سنة', 'ثمان', 'وثمانين', 'النشاوري', 'وابن', 'الميلق', 'والعراقي', 'والهيثمي', 'والابناسي', 'واخرون', '.', 'مات', 'بمكة', 'قبل', 'الثلاثين', 'بعسر', 'البول', 'والحصى', 'مع', 'معالجته', 'بانواع', '.']",99.9999999999998
8550,13,2,2,"['محمد', 'بن', 'محمد', 'بن', 'احمد', 'بن', 'احمد', 'بن', 'محمد', 'بن', 'محمد', 'المحب', 'بن', 'الشمس', 'البكري', 'القاهري', 'الشافعي', 'السعودي', 'الماضي', 'ابوه', 'ويعرف', 'بابن', 'العطار', '.', 'اشتغل', 'وبرع', 'في', 'الميقات', 'والفرائض', 'والحساب', 'واخذ', 'عنه', 'غير', 'واحد', '،', 'وتكسب', 'كابيه', 'بالشهادة', 'عند', 'حوض', 'ابن', 'هنس', 'ثم', 'كتب', 'باخرة', 'في', 'ديوان', 'المواريث', 'الحشرية', 'ولم', 'يحصل', 'على', 'طائل', '.', 'مات', 'قريب', 'الثمانين', 'فيما', 'اظن', 'عن', 'بضع', 'وخمسين', 'رحمه', 'الله', 'وايانا', '.']","['محمد', 'بن', 'محمد', 'بن', 'احمد', 'بن', 'احمد', 'بن', 'محمد', 'بن', 'محمد', 'المحب', 'بن', 'الشمس', 'البكري', 'القاهري', 'الشافعي', 'السعودي', 'الماضي', 'ابوه', 'ويعرف', 'بابن', 'العطار', '.', 'اشتغل', 'وبرع', 'في', 'الميقات', 'والفرائض', 'والحساب', 'واخذ', 'عنه', 'غير', 'واحد', '،', 'وتكسب', 'كابيه', 'بالشهادة', 'عند', 'حوض', 'ابن', 'هنس', 'ثم', 'كتب', 'باخرة', 'في', 'ديوان', 'المواريث', 'الحشرية', 'ولم', 'يحصل', 'على', 'طائل', '.', 'مات', 'قريب', 'الثمانين', 'فيما', 'اظن', 'عن', 'بضع', 'وخمسين', 'رحمه', 'الله', 'وايانا', '.']",100
8551,14,2,2,"['محمد', 'بن', 'محمد', 'بن', 'احمد', 'بن', 'اسماعيل', 'بن', 'داود', 'الصدر', 'بن', 'الشمس', 'بن', 'الشهاب', 'الرومي', 'القاهري', 'الحنفي', 'والد', 'الصدر', 'محمد', 'الاتي', '،', 'وسمي', 'شيخنا', 'والده', 'عبد', 'الله', 'وهو', 'سهوبل', 'عبد', 'الله', 'اخ', 'لصاحب', 'الترجمة', '،', 'قال', 'شيخنا', 'في', 'انبائه', ':', 'ناب', 'في', 'الحكم', 'وكان', 'حسن', 'التودد', 'ويتعمم', 'دائما', 'على', 'اذنيه', '.', 'مات', 'سنة', 'خمس', 'وعشرين', '.']","['محمد', 'بن', 'محمد', 'بن', 'احمد', 'بن', 'اسمعيل', 'بن', 'داود', 'الصدر', 'بن', 'الشمس', 'بن', 'الشهاب', 'الرومي', 'القاهري', 'الحنفي', 'والد', 'الصدر', 'محمد', 'الاتي', '،', 'وسمي', 'شيخنا', 'والده', 'عبد', 'الله', 'وهو', 'سهوبل', 'عبد', 'الله', 'اخ', 'لصاحب', 'الترجمة', '،', 'قال', 'شيخنا', 'في', 'انبائه', ':', 'ناب', 'في', 'الحكم', 'وكان', 'حسن', 'التودد', 'ويتعمم', 'دائما', 'على', 'اذنيه', '.', 'مات', 'سنة', 'خمس', 'وعشرين', '.']",98.1818181818184
8552,15,2,2,"['محمد', 'تقي', 'الدين', 'اخو', 'الذي', 'قبله', 'ويعرف', 'كسلفه', 'بابن', 'الرومي', '.']","['محمد', 'تقي', 'الدين', 'اخو', 'الذي', 'قبله', 'ويعرف', 'كسلفه', 'بابن', 'الرومي', '.']",100
8553,16,2,2,"['محمد', 'بن', 'محمد', 'بن', 'احمد', 'بن', 'ابي', 'بكر', 'بن', 'رسلان', 'البدر', 'ابو', 'السعادات', 'بن', 'اوحد', 'الدين', 'بن', 'العجيمي', 'البلقيني', 'الاصل', 'الماضي', 'ابوه', 'وجده', '.', 'ولد', 'بالمحلة', 'ونشا', 'بها', 'فحفظ', 'القران', 'وكتبا', '،', 'وعرض', 'على', 'جماعة', 'كالامين', 'الاقصرائي', 'والعز', 'الحنبلي', 'واستقل', 'بعد', 'ابيه', 'بقضاء', 'المحلة', 'مع', 'صغر', 'سنه', 'وخلوه', 'ثم', 'صرف', 'بابن', 'ابي', 'عبيد', 'وقتا', 'وعاد', 'على', 'مال', 'مقرر', 'بحملة', 'وكانت', 'سيرته', 'في', 'العود', 'اشبه', 'منها', 'قبله', 'فيما', 'قيل', 'ثم', 'بلغني', 'عنه', 'كائنة', 'قبيحة', 'في', 'سنة', 'ثمان', 'وتسعين', 'رسم', 'عليه', 'بسببها', 'على', 'مال', 'وقيل', 'انها', 'مفتعلة', '.']","['محمد', 'بن', 'محمد', 'بن', 'احمد', 'بن', 'ابي', 'بكر', 'بن', 'رسلان', 'البدر', 'ابو', 'السعادات', 'بن', 'اوحد', 'الدين', 'بن', 'العجيمي', 'البلقيني', 'الاصل', 'الماضي', 'ابوه', 'وجده', '.', 'ولد', 'بالمحلة', 'ونشا', 'بها', 'فحفظ', 'القران', 'وكتبا', '،', 'وعرض', 'على', 'جماعة', 'كالامين', 'الاقصرائي', 'والعز', 'الحنبلي', 'واستقل', 'بعد', 'ابيه', 'بقضاء', 'المحلة', 'مع', 'صغر', 'سنه', 'وخلوه', 'ثم', 'صرف', 'بابن', 'ابي', 'عبيد', 'وقتا', 'وعاد', 'على', 'مال', 'مقرر', 'بحملة', 'وكانت', 'سيرته', 'في', 'العود', 'اشبه', 'منها', 'قبله', 'فيما', 'قيل', 'ثم', 'بلغني', 'عنه', 'كائنة', 'قبيحة', 'في', 'سنة', 'ثمان', 'وتسعين', 'رسم', 'عليه', 'بسببها', 'على', 'مال', 'وقيل', 'انها', 'مفتعلة', '.']",100
8554,15,2,2,"['محمد', 'بن', 'محمد', 'بن', 'احمد', 'بن', 'ابي', 'بكر', 'الشمس', 'بن', 'الشمس', 'الحموي', 'الشافعي', 'الماضي', 'ابوه', 'ويعرف', 'كهو', 'بابن', 'الاشقر', '.', 'ممن', 'سمع', 'على', 'شيخنا', '.']","['محمد', 'تقي', 'الدين', 'اخو', 'الذي', 'قبله', 'ويعرف', 'كسلفه', 'بابن', 'الرومي', '.']",15.762208124782
8555,18,3,3,"['محمد', 'بن', 'محمد', 'بن', 'احمد', 'بن', 'جعفر', 'بن', 'محاسن', 'الشمس', 'البعلي', 'المؤدب', 'ويعرف', 'بابن', 'الشحرور', '.', 'ولد', 'سنة', 'اثنتين', 'وستين', 'وسبعمائة', 'ببعلبك', 'ونشا', 'بها', 'وسمع', 'على', 'عبد', 'الرحمن', 'بن', 'محمد', 'بن', 'الزعبوب', 'ومحمد', 'بن', 'علي', 'اليونانية', 'الصحيح', 'وعلى', 'حسن', 'ابن', 'محمود', 'بن', 'بشر', 'واحمد', 'بن', 'ابراهيم', 'بن', 'بدر', 'الالفي', 'البعليين', 'المائة', 'انتقاء', 'ابن', 'تيمية', 'منه', 'وعلى', 'موسى', 'بن', 'ابراهيم', 'اخي', 'ثانيهما', 'الاول', 'من', 'امالي', 'قاضي', 'البيمارستان', 'وحدث', 'سمع', 'منه', 'الفضلاء', 'كالحافظ', 'ابن', 'موسى', 'ورفيقه', 'الابي', 'في', 'سنة', 'خمس', 'عشرة', 'وكان', 'مؤدب', 'الاطفال', 'بباب', 'جامع', 'بعلبك', '،', 'وذكره', 'شيخنا', 'في', 'معجمه', 'فقال', ':', 'محمد', 'بن', 'محمد', 'ابن', 'احمد', 'بن', 'الشحرور', 'اجاز', 'لابنتي', 'رابعة', '،', 'وذكره', 'ابن', 'ابي', 'عذيبة', 'وكانه', 'تاخر', 'الى', 'بعد', 'الثلاثين', '.']","['محمد', 'بن', 'محمد', 'بن', 'احمد', 'بن', 'جعفر', 'بن', 'محاسن', 'الشمس', 'البعلي', 'المؤدب', 'ويعرف', 'بابن', 'الشحرور', '.', 'ولد', 'سنة', 'اثنتين', 'وستين', 'وسبعمائة', 'ببعلبك', 'ونشا', 'بها', 'وسمع', 'على', 'عبد', 'الرحمن', 'بن', 'محمد', 'بن', 'الزعبوب', 'ومحمد', 'بن', 'علي', 'اليونانية', 'الصحيح', 'وعلى', 'حسن', 'ابن', 'محمود', 'بن', 'بشر', 'واحمد', 'بن', 'ابراهيم', 'بن', 'بدر', 'الالفي', 'البعليين', 'المائة', 'انتقاء', 'ابن', 'تيمية', 'منه', 'وعلى', 'موسى', 'بن', 'ابراهيم', 'اخي', 'ثانيهما', 'الاول', 'من', 'امالي', 'قاضي', 'البيمارستان', 'وحدث', 'سمع', 'منه', 'الفضلاء', 'كالحافظ', 'ابن', 'موسى', 'ورفيقه', 'الابي', 'في', 'سنة', 'خمس', 'عشرة', 'وكان', 'مؤدب', 'الاطفال', 'بباب', 'جامع', 'بعلبك', '،', 'وذكره', 'شيخنا', 'في', 'معجمه', 'فقال', ':', 'محمد', 'بن', 'محمد', 'ابن', 'احمد', 'بن', 'الشحرور', 'اجاز', 'لابنتي', 'رابعة', '،', 'وذكره', 'ابن', 'ابي', 'عذيبة', 'وكانه', 'تاخر', 'الى', 'بعد', 'الثلاثين', '.']",100
