,geometry,toponyms,value_counts
2060,POINT (39.83612 21.39132),['مكة'],4504.0
1501,POINT (31.24168 30.05778),['القاهرة'],3569.0
1046,POINT (36.30199 33.51843),['دمشق'],1726.0
1581,POINT (37.17518 36.19828),['حلب'],1049.0
81,POINT (35.20345 31.77768),"['بيت المقدس', 'القدس', 'ايليا']",978.0
767,POINT (39.60908 24.47782),"['المدينة', 'مدينة النبي', 'المدينة النبوية', 'المدينة المنورة', 'يثرب']",967.0
1932,POINT (29.90981 31.1949),"['الاسكندرية', 'إسكندرية', 'الإسكندرية ']",376.0
1003,POINT (31.79125 31.43739),['دمياط'],294.0
960,POINT (13.19209 32.87801),"['اطرابلس', 'طرابلس']",283.0
1165,POINT (35.85194 34.44044),"['اطرابلس', 'طرابلس']",283.0
242,POINT (43.32654 14.20796),['زبيد'],217.0
669,POINT (36.76872 35.12587),['حماة'],193.0
341,POINT (34.45664 31.49664),['غزة'],191.0
2129,POINT (-1.92701 35.06747),['غزة'],191.0
623,POINT (35.08912 31.53018),"['حبرة', 'الخليل', 'حبرون', 'مسجد ابراهيم']",189.0
1470,POINT (39.02138 23.51137),['الحجاز'],164.0
1810,POINT (10.17736 36.77071),['تونس'],164.0
1919,POINT (44.35693 33.35932),['بغداد'],139.0
712,POINT (41.6403 21.25283),['تربة'],138.0
218,POINT (41.57497 21.0975),['تربة'],138.0
2005,POINT (39.1779 21.46201),['جدة'],124.0
275,POINT (57.66352 22.68969),['القلعة'],121.0
1125,POINT (36.19213 34.01251),['بعلبك'],110.0
1645,POINT (45.03942 12.79365),['عدن'],76.0
1260,POINT (35.24238 32.22047),['نابلس'],69.0
1596,POINT (36.72425 34.73793),['حمص'],63.0
2212,POINT (-5.02852 34.06727),['فاس'],60.0
1952,POINT (52.52867 29.61884),['شيراز'],56.0
1424,POINT (46.33121 38.06387),['تبريز'],50.0
818,POINT (39.93206 21.35325),['منى'],50.0
1735,POINT (-1.32364 34.88186),['تلمسان'],39.0
2001,POINT (31.20183 30.00653),['الجيزة'],37.0
1941,POINT (44.89011 32.511),['النيل'],36.0
643,POINT (67.03225 39.67905),['سمرقند'],35.0
1653,POINT (14.78841 25.78099),"['زويلة', 'زويلة بن الخطاب']",29.0
1076,POINT (44.20186 15.37373),['صنعاء'],29.0
138,POINT (53.44663 29.12318),['الرباط'],28.0
655,POINT (40.71117 37.30186),['ماردين'],25.0
291,POINT (30.84266 29.35921),['الفيوم'],24.0
563,POINT (30.69978 29.43447),['الفيوم'],24.0
1351,POINT (54.41315 30.11392),['هراة'],22.0
2196,POINT (62.15235 34.33419),['هراة'],22.0
1554,POINT (30.9195 30.45505),['منوف'],22.0
46,POINT (62.15235 34.33419),['هراة'],22.0
602,POINT (-3.66814 37.22734),"['لبيرة', 'البيرة']",21.0
590,POINT (-3.66814 37.22734),"['لبيرة', 'البيرة']",21.0
1842,POINT (31.21122 30.04436),['الجزيرة'],20.0
1292,POINT (5.04769 36.70199),['بجاية'],19.0
1254,POINT (43.127 36.32809),['الموصل'],18.0
1301,POINT (41.51032 22.44819),['الشبيكة'],18.0
722,POINT (37.33032 19.11304),['سواكن'],18.0
1355,POINT (-3.5998 37.20621),['غرناطة'],18.0
891,POINT (49.96347 54.45304),['سوار'],17.0
565,POINT (40.67909 37.84795),['ديار بكر'],16.0
2174,POINT (68.87697 25.8651),['المنصورة'],16.0
1023,POINT (72.56065 22.35228),['كنباية'],15.0
1647,POINT (47.71735 30.40147),['البصرة'],15.0
2190,POINT (-6.88943 33.99489),['رباط'],15.0
2049,POINT (60.54672 36.17215),"['مزدوران', 'العقبة']",14.0
