category,name,count
خانقاه,السرياقوسية,14
خانقاه,الصلاحية,13
خانقاه,البيبرسية,12
خانقاه,الناصرية,9
خانقاه,الشيخونية,5
خانقاه,السعيدية,3
رباط,الظاهرية,3
زاوية,القادرية,3
خانقاه,القوصونية,3
دير,اللحية,3
خانقاه,السميساطية,2
زاوية,البسطامية,2
رباط,الدمشقية,2
زاوية,الرفاعية,2
خانقاه,الجمالية,2
زاوية,القلندرية,2
زاوية,النعمانية,2
زاوية,الحلاوية,1
زاوية,الخشابية,1
خانقاه,الاندلسية,1
خانقاه,المقدمية,1
دير,الباسطية,1
خانقاه,النجيبية,1
خانقاه,النجمية,1
خانقاه,الباسطية,1
خانقاه,السلطانية,1
خانقاه,السعدية,1
خانقاه,الزمامية,1
خانقاه,الركنية,1
خانقاه,الجاولية,1
خانقاه,البكتمرية,1
زاوية,الوفائية,1
