,text_nt
5369,"['سَوَّق', 'نَسَب', 'حَلَبِيّ', 'البسطامي', 'شافِعِيّ', 'ماضِي', 'حَفِيد', 'ٱِبْن', 'عَرَف', 'وَلَد', 'قَرْيَة', 'عَمَل', 'قُرْب', 'مَعَرَّة', 'فارِق', 'ٱِبْن', 'نَزَل', 'مَعَرَّة', 'ٱِشْتَغَل', 'شَيْخ', 'زاوِيَة', 'ٱِتِّباع', 'تَحَوَّل', 'ثَمانِمائَة', 'قُطْن', 'دار', 'قُرْآن', 'عَشائِرِيّ', 'خَطِيب', 'مات', 'شَيْخ', 'تَصَوُّف', 'جَلال', 'آخَر', 'جَماعَة', 'صاحِب', 'ومواخيه', 'عالَم', 'زاهِد', 'وَرَع', 'مُتَعَبِّد', 'تِلاوَة', 'مُطالَعَة', 'مداوما', 'طَهارَة', 'كامِل', 'سَلِيم', 'صَدْر', 'كَرِيم', 'مَقْصُود', 'مُرُوَّة', 'وَدّ', 'قِيام', 'مَصْلَحَة', 'جَمال', 'صُورَة', 'حَسَن', 'شَمْلِيَّة', 'ناس', 'ٱِعْتِقاد', 'وَجاهَة', 'ناحِيَة', 'مُتَزايِد', 'أَتْباع', 'كَثِير', 'ناحِيَة', 'زاوِيَة', 'مَشْحُون', 'فَقِير', 'البسطاميه', 'ٱِنْتَهَى', 'سِيادَة', 'البسطاميه', 'مَمْلَكَة', 'مُشارِك', 'أَكْثَر', 'أَزْيَد', 'حَفِيد', 'كِتاب', 'خُطَّة', 'شَيْخ', 'والِد', 'لازِم', 'صَحِب', 'أَسْعَد', 'نَظَر', 'وَقَع', 'إِلّا', 'أَفْلَح', 'رايْت', 'عَصْرِيّ', 'نَظِير', 'حَصَل', 'خَيْر', 'إِلّا', 'صُحْبَة', 'بَدَأ', 'قِراءَة', 'ٱِسْتَأْذَن', 'تَبَرَّك', 'قَرَأ', 'حَدِيث', 'جامِع', 'عَرَض', 'صَوْتِيّ', 'شَيْء', 'كَدّ', 'نَطَق', 'عَجْز', 'والِد', 'مُداواة', 'دَخَل', 'طَلَب', 'بَرَكَة', 'أَكَل', 'كُشْك', 'زَيْت', 'أَمَر', 'أَكْل', 'أَمْكَن', 'مُخالَفَة', 'شِفاء', 'والِد', 'طَعام', 'شِفاء', 'اللَّه', 'شَكّ', 'كَرّام', 'رَدّ', 'ٱِلْتَقَى', 'زار', 'زاوِيَة', 'رايْت', 'شَيْخ', 'زار', 'تَأَدُّب', 'جِدّ', 'ٱِلْتَمَس', 'دُعاء', 'طَفا', 'بَلَد', 'وَقَع', 'بَصَرِيّ', 'نَظِير', 'راوَنْد', 'زال', 'وَجاهَة', 'مات', 'عَلَّل', 'فالِج', 'مُدَّة', 'لَيْلَة', 'رَجَب', 'قارِب', 'رَحِم', 'نَفَع']"
5370,"['مات', 'شَعْبان', 'رَخِي', 'سَمَّى', 'تاجِر', 'مُتَمَوِّل', 'ذَكَر', 'وَلَد']"
5371,"['شَيْخ', 'مُنْيَة', 'حِلْف', 'مات', 'سَعَى', 'ٱِبْن']"
5372,"['سَمَّى', 'عَضّ', 'أَمِير', 'حاصَر', 'صاحِب', 'أَفْرِيقِيّ', 'قَبَض', 'صُلْب', 'مات', 'ٱِثْنَتانِ', 'ذَكَر', 'شَيْخ', 'نَبَأ', 'طُول', 'عَقْد', 'نِسْبَة', 'صاحِب', 'قَتَل', 'حَجّار', 'رَجَم', 'رَجَب', 'ٱِثْنَتانِ', 'ٱِنْقَرَض', 'مُهْلِك', 'دَوْلَة', 'حَسَن', 'سِيرَة', 'كَثِير', 'فَضْل', 'سِيرَة', 'وَلَد', 'كَثُر', 'قَبِيحَة', 'سَفْك', 'دَم', 'مال', 'حَقّ', 'جُرْم', 'قَطْع', 'دابِر']"
5373,"['فَتْح', 'تَحْتانِيّ', 'مُهْمَل', 'تَشْدِيد', 'مَغْرِبِيّ', 'التاذلي', 'أَزال', 'وَلَد', 'تَقْرِيب', 'بَلَد', 'شَأَو', 'حِفْظ', 'قُرْآن', 'قَدَّم', 'حَجّ', 'زار', 'نَبِيّ', 'قُطْن', 'مات', 'أَخْرَج', 'إِلّا', 'مَرَّة', 'نَبَوِيّ', 'خَدَم', 'شَيْخ', 'بَرَكَة', 'مات', 'رَبِيع', 'آخَر', 'ٱِثْنَتانِ', 'سَعَى', 'دَفَن', 'ظُهْر', 'شَيْخ', 'ذَكَر', 'نَقْل', 'وَلَد', 'جَمال', 'ماضِي']"
5374,"['كُرْدِيّ', 'أَصْل', 'قاهِرِيّ', 'حُسَيْنِيّ', 'سَبِط', 'قاضِي', 'شَمْس', 'ماضِي', 'أَب', 'عَرَف', 'أَب', 'يَسار', 'جِدّ', 'مَلِق', 'مُدَّة', 'مُتَطاوِل', 'تَرَدَّد', 'كَثِير', 'أَعْيان', 'عَرَف', 'شَرَف', 'تَعَرَّض', 'نائِل', 'أَمْر', 'تَناقُص', 'عَدَل', 'إِقْبال', 'كِتابَة', 'خُطَّة', 'جَيِّد', 'أَبْناء', 'غَمْر', 'قَصَد', 'رَغِب', 'ٱِقْتِناء', 'دَفْتَر', 'مُتَمَوِّل', 'زال', 'فَقْرَة', 'ٱِزْدِياد', 'شَكا', 'مُسْتَفِيض', 'عَبّاد', 'مات', 'عَلَّل', 'مُدَّة', 'جُمادَى', 'آخِرَة', 'دَفَن', 'حَوَش', 'مَعْرُوف', 'قُرْب', 'خارِج', 'تَرَدَّد', 'كَثِير', 'سَبَب', 'ٱِسْتِعارَة', 'رَحِم', 'إِيّا']"
5375,"['قاضِي', 'قاضِي', 'حَلَبِيّ', 'شافِعِيّ', 'عَمّ', 'بَقاء', 'قاضِي', 'قاضِي', 'وَلَد', 'ثَمانِمائَة', 'سَمِع', 'حَلَبِيّ', 'شَيْخ', 'ٱِشْتَغَل', 'قَلِيل', 'أَبَى', 'قَضاء', 'ٱِسْتَقَلّ', 'أَعاد', 'ٱِبْن', 'وَخَى', 'قَضاء', 'أَرْسَل', 'ٱِسْتَخْلَف', 'مَأْتَى', 'عَفا']"
5376,"['خَطِيب', 'عَرَف', 'شَيْخ', 'مُعْجَم', 'ٱِشْتَغَل', 'بَلَد', 'قَرَأ', 'عَضّ', 'شَيْخ', 'دَخَل', 'مِرار', 'تَكَلَّم', 'ناس', 'جامِع', 'نَظَّم', 'شِعْر', 'مَقْبُول', 'أَنْشَد', 'نَظَّم', 'عَضّ', 'صاحِب', 'نَسَب', 'مُجازَفَة', 'نَبَأ', 'حَجّ', 'كَثِير', 'قَدَّم', 'عانَى', 'نَظَر', 'أَدَب', 'مَهْر', 'قِراءَة', 'تَكَلَّم', 'ناس', 'خُطْبَة', 'أَنْجَب', 'سَمِع', 'نَظَّم', 'سَمِع', 'كَثِير', 'مات', 'جاز', 'ذَكَر', 'عَقْد', 'عالِم', 'دَخَل', 'مِرار']"
5377,"['خَيّاط', 'مات', 'حُجَّة', 'رَخِي']"
5378,"['أَصْل', 'مِصْرِيّ', 'وَلِيّ', 'أَمانَة', 'حُكْم', 'قَدِيم', 'نِيابَة', 'بَهِج', 'رُؤْيَة', 'مات']"
