"tokens","lemmas","ne_labels","pos"
"ألف","أَلْف","B-PERS","noun_prop"
"ابنة","ٱِبْنَة","I-PERS","noun_prop"
"القاضي","قاضِي","I-PERS","noun_prop"
"علم","عَلِم","I-PERS","noun_prop"
"الدين","دِين","I-PERS","noun_prop"
"صالح","صالِح","I-PERS","noun_prop"
"بن","بِن","I-PERS","noun_prop"
"عمر","عُمَر","I-PERS","noun_prop"
"بن","بِن","I-PERS","noun_prop"
"رسلان","رَسْل","I-PERS","noun_prop"
"البلقينى","البلقيني","I-PERS","noun_prop"
"شقيقة","شَقِيقَة","O","noun"
"فتح","فَتْح","B-PERS","noun"
"الدين","دِين","I-PERS","noun"
"محمد","مُحَمَّد","I-PERS","noun_prop"
"و+_أخت","أُخْت","O","noun"
"الصلاح","صَلاح","B-PERS","noun_prop"
"المكينى","المكيني","I-PERS","adj"
"ل+_أمة","أُمَّة","O","noun"
"،","،","O","punc"
"تزوجها","تَزَوَّج","O","verb"
"عبد","عَبْد","B-PERS","noun_prop"
"القادر","قادِر","I-PERS","noun_prop"
"بن","بِن","I-PERS","noun_prop"
"الأحمدي","أَحْمَدِيّ","I-PERS","noun_prop"
"ثم","ثُمَّ","O","conj"
"عبد","عَبْد","B-PERS","noun_prop"
"القادر","قادِر","I-PERS","noun_prop"
"بن","بِن","I-PERS","noun_prop"
"الرسام","رَسّام","I-PERS","noun_prop"
"الحموي","حَمَوِيّ","I-PERS","noun_prop"
"واستولدها","واستولدها","O","verb"
"تقي","وَقَى","B-PERS","noun_prop"
"الدين","دِين","I-PERS","noun_prop"
"عبد","عَبْد","I-PERS","noun_prop"
"الكافي","كافِي","I-PERS","noun_prop"
"ثم","ثُمَّ","O","conj"
"أمير","أَمِير","B-PERS","noun_prop"
"المؤمنين","مُؤْمِن","I-PERS","noun_prop"
"المستنجد","المستنجد","I-PERS","noun_prop"
"بالله","اللَّه","I-PERS","noun_prop"
"يوسف","يُوسِف","I-PERS","noun_prop"
"واستولدها","واستولدها","O","verb"
"ابنة","ٱِبْنَة","O","noun"
"ثم","ثُمَّ","O","conj"
"فارقها","فارِق","O","verb"
"و+_اتصلت","ٱِتَّصَل","O","verb"
"ب+_ابن","ٱِبْن","O","noun"
"عمها","عَمّ","O","noun"
"البدر","بَدْر","B-PERS","noun_prop"
"أبي","أَب","I-PERS","noun_prop"
"السعادات","السعادات","I-PERS","noun_prop"
"بعد","بُعْد","O","noun"
"موت","مَوْت","O","verb"
"زوجته","زَوْجَة","O","noun"
"أختها","أُخْت","O","noun"
"و+_أقبلت","أَقْبَل","O","verb"
"حينئذ","حِينَئِذٍ","O","adv"
"على","عَلَى","O","prep"
