"tokens","lemmas","ne_labels","pos"
"عمائم","عِمامَة","B-PERS","noun_prop"
"و+_تدعى","دَعا","O","verb"
"ستيتة","ستيته","B-PERS","noun_prop"
"ابنة","ٱِبْنَة","I-PERS","noun_prop"
"العلم","عِلْم","I-PERS","noun_prop"
"صالح","صالِح","I-PERS","noun_prop"
"بن","بِن","I-PERS","noun_prop"
"السراج","سِراج","I-PERS","noun_prop"
"عمر","عُمَر","I-PERS","noun_prop"
"بن","بِن","I-PERS","noun_prop"
"رسلان","رَسْل","I-PERS","noun_prop"
"البلقينى","البلقيني","I-PERS","noun_prop"
"شقيقة","شَقِيقَة","O","noun"
"ألف","أَلْف","B-PERS","noun"
"و+_فتح","فَتْح","B-PERS","noun"
"الدين","دِين","I-PERS","noun"
"محمد","مُحَمَّد","I-PERS","noun_prop"
"الماضيين","ماضِي","O","adj"
".",".","O","punc"
"ولدت","وَلَد","O","verb"
"في","فِي","O","prep"
"أواخر","آخِر","O","noun"
"سنة","سَنَة","O","noun"
"خمس","خَمْس","O","adj_num"
"و+_عشرين","عِشْرُون","O","adj_num"
"و+_ثمانمائة","ثَمانِمائَة","O","adj_num"
"أو","أَو","O","conj"
"أوائل","أَوائِل","O","noun"
"التي","الَّذِي","O","pron_rel"
"بعدها","بُعْد","O","noun"
"بحارة","بَحّار","O","noun"
"آبائها","آباء","O","noun"
"و+_نشأت","نَشَأ","O","verb"
"في","فِي","O","prep"
"كنف","كَنَف","O","noun"
"أبويها","أَبَوان","O","noun"
"ف+_تزوجها","تَزَوَّج","O","verb"
"حفيد","حَفِيد","O","noun"
"عمها","عَمّ","O","noun"
"أبو","أَبُو","B-PERS","noun_prop"
"السعادات","السعادات","I-PERS","noun_prop"
"و+_استمرت","ٱِسْتَمَرّ","O","verb"
"تحته","تَحْتَ","O","noun"
"حتى","حَتَّى","O","prep"
"ماتت","مات","O","verb"
"بعد","بُعْد","O","noun"
"أن","أَنَّ","O","conj_sub"
"حجت","حَجا","O","verb"
"واستولدها","واستولدها","O","noun_prop"
"أولادا","وَلَد","O","noun"
"قدماهم","قَدَّم","O","verb"
"،","،","O","punc"
"و+_كانت","كان","O","verb"
"خيرة","خَيِّر","O","adj"
"صينه","صِين","O","noun_prop"
"رئيسة","رَئِيس","O","noun"
"متوددة","متودده","O","noun_prop"
".",".","O","punc"
"ماتت","مات","O","verb"
"في","فِي","O","prep"
"ثامن","ثامِن","O","adj"
"عشر","عَشَرَة","O","noun"
"جمادى","جُمادَى","O","noun_prop"
"الآخرة","آخِرَة","O","noun_prop"
"سنة","سَنَة","O","noun"
"ٱثنتين","ٱِثْنَتانِ","O","adj_num"
"و+_سبعين","سَبْع","O","adj_num"
"و+_صلى","صَلَّى","O","verb"
"عليها","عَلَى","O","prep"
"ب+_جامع","جامِع","B-LOC","noun_prop"
"الحاكم","حاكِم","I-LOC","noun_prop"
"و+_دفنت","دَفَن","O","verb"
"عند","عِنْد","O","noun"
"أمها","أُمّ","O","noun"
"ب+_مدرسة","مَدْرَسَة","O","noun"
"جدهم","جِدّ","O","noun"
"و+_اتفق","ٱِتَّفَق","O","verb"
"زوجها","زَوْج","O","noun"
"و+_إخوتها","إِخْوَة","O","noun"
"على","عَلَى","O","prep"
"إلغاء","إِلْغاء","O","noun"
"ما","ما","O","pron_rel"
"كانت","كان","O","verb"
"حبسته","حَبَس","O","verb"
"في","فِي","O","prep"
"مرض","مَرَض","O","noun"
"موتها","مَوْت","O","noun"
"و+_تصييره","تَصْيِير","O","noun"
"ميراثا","مِيراث","O","noun"
"رحمها","رَحِم","O","verb"
"الله","اللَّه","B-MISC","noun_prop"
".",".","O","punc"
