"tokens","lemmas","ne_labels","pos"
"محمد","مُحَمَّد","B-PERS","noun_prop"
"بن","بِن","I-PERS","noun_prop"
"عثمان","عُثْمان","I-PERS","noun_prop"
"بن","بِن","I-PERS","noun_prop"
"سليمان","سُلَيْمان","I-PERS","noun_prop"
"بن","بِن","I-PERS","noun_prop"
"رسول","رَسُول","I-PERS","noun_prop"
"بن","بِن","I-PERS","noun_prop"
"أمير","أَمِير","I-PERS","noun_prop"
"يوسف","يُوسِف","I-PERS","noun_prop"
"بن","بِن","I-PERS","noun_prop"
"خليل","خَلِيل","I-PERS","noun_prop"
"بن","بِن","I-PERS","noun_prop"
"نوح","نُوح","I-PERS","noun_prop"
"المحب","مُحِبّ","I-PERS","noun_prop"
"بن","بِن","I-PERS","noun_prop"
"الشرف","شَرَف","I-PERS","noun_prop"
"الكرادي","الكرادي","I-PERS","noun_prop"
"الأصل","أَصْل","O","noun"
"-","-","O","punc"
"نسبة","نِسْبَة","O","noun"
"لكراد","لكراد","B-LOC","noun_prop"
"ب+_فتح","فَتْح","B-PERS","noun"
"الراء","راء","I-PERS","noun"
"الخفيفة","خَفِيف","I-PERS","adj"
"قبيلة","قَبِيلَة","O","noun"
"من","مِن","O","prep"
"التركمان","تُرْكُمان","B-LOC","noun_prop"
"و+_وهم","وَهْم","O","noun"
"العيني","عَيْنِيّ","O","adj"
"ف+_نسبة","نِسْبَة","O","noun"
"تركمانيا","تركمانيا","B-LOC","noun_prop"
"-","-","O","punc"
"القرمي","القرمي","O","adj"
"القاهري","قاهِرِيّ","O","adj"
"الحنفي","حَنَفِيّ","O","adj"
"والد","والِد","O","noun"
"أحمد","أَحْمَد","B-PERS","noun_prop"
"و+_إبراهيم","إِبْراهِيم","B-PERS","noun_prop"
"و+_أخو","أَخ","O","noun"
"حسين","حُسَيْن","B-PERS","noun_prop"
"الماضيين","ماضِي","O","adj"
"و+_يعرف","عَرَف","O","verb"
"ب+_ابن","ٱِبْن","B-PERS","noun"
"الأشقر","أَشْقَر","I-PERS","noun"
"لقب","لَقَب","O","noun"
"ل+_والدة","والِد","O","noun"
"المترجم","مُتَرْجِم","O","noun"
"في","فِي","O","prep"
"المائة","مِئَة","O","noun"
"قبلها","قِبَل","O","noun"
".",".","O","punc"
"ولد","وَلَد","O","verb"
"في","فِي","O","prep"
"سنة","سَنَة","O","noun"
"ثمانين","ثَمانِي","O","adj_num"
"و+_سبعمائة","سَبْعمائَة","O","adj_num"
"-","-","O","punc"
"و+_قيل","قال","O","verb"
"قبلها","قِبَل","O","noun"
"-","-","O","punc"
"ب+_القاهرة","قاهِرَة","B-LOC","noun_prop"
"ب+_زاوية","زاوِيَة","O","noun"
"أرغون","أَرْجُون","B-LOC","noun_prop"
"الاقرم","الاقرم","I-LOC","noun_prop"
"ب+_الصوة","صُوَّة","I-LOC","noun_prop"
"،","،","O","punc"
"و+_يقال","قال","O","verb"
"أن","أَنَّ","O","conj_sub"
"أمه","أُمّ","O","noun"
"كانت","كان","O","verb"
"ب+_كريه","كَرِيه","O","adj"
"و+_نشأ","شَأَو","O","verb"
"بها","بِ","O","prep"
"في","فِي","O","prep"
"كنف","كَنَف","O","noun"
"أبويه","أَبَوان","O","noun"
"و+_أنتفع","ٱِنْتَفَع","O","verb"
"فيما","ما","O","conj_sub"
"قيل","قال","O","verb"
"ب+_الجمال","جَمال","B-PERS","noun_prop"
"إسحاق","إِسْحاق","I-PERS","noun_prop"
