year,month,month_str,day,category,match,place
623.0,,,,death, مات في سنة ثلاث وعشرين وستمائة,
587.0,9,رمضان,4.0,birth, بابن المعتمد روى عن حنبل الرصافي وغيره وعنه جماعة منهم الدمياطي واورد عنه في معجمه حديثا وارخ مولده في رابع رمضان سنة سبع وثمانين وخمسمائة,
670.0,7,رجب,13.0,death, ومات في ثالث عشر رجب سنة سبعين وستمائة,
665.0,,,,samia, يوسف بن السلار الدمشقي مفترقين وقال ان اولهما سمعهما على الشهاب ابي شامة وهو عجيب فوفاة ابي شامة في سنة خمس وستين وستمائة,
640.0,9,رمضان,,death, ومات في رمضان سنة اربعين وستمائة,
664.0,4,ربيع الاخر,,death, وابنه ابو العباس ايضا كان عارفا بالمذهب جليل القدر ممن تفقه بابيه وخلفه ومات في ربيع الاخر سنة اربع وستين وستمائة,
585.0,,,,, قال العيني قدم من البلاد الشمالية في حدود سنة خمس وثمانين وخمسمائة,
646.0,,,,birth, ولد سنة ست واربعين وستمائة,
570.0,,,,, بها في كنف ابويه فحفظ القران وكتبا جمة هي الطوالع للبيضاوي وقصيدتان في العقائد ايضا احداهما الابن مكي نظمها سنة سبعين وخمسمائة,
616.0,,,,, هكذا ارخه ابو البقاء بن الضياء ووهمه صاحبنا ابن فهد وقال ان والده حدث في سنة ست عشرة وستمائة بتاريخ,تاريخ
634.0,,,,, احمد البطرني انا به ابو محمد عبد الله بن محمد بن احمد اللخمي سماعا انا به مؤلفه سماعا في سنة اربع وثلاثين وستمائة بالاشرفية,الاشرفية
108.0,,,,, عامة من اخذت عنه في الرحلة الشامية ورافقني في الاشتغال على الابناسي والبلقيني والعراقي وغيرهم ثم دخل اليمن في سنة ثماني مائة,
200.0,,,,, وخطه فائق دقيق وبيع في تركته نحو سبعمائة مجلد كاد ان يستوفيها مطالعة والف التاريخ الكبير ابتدا فيه من سنة مائتين,
675.0,1,محرم,,death, بن حسن بن عبد الحاكم ممن قرا علي وانتسب كذلك قديما نبيه الدين ابراهيم بن مهلهل مصري مات في المحرم سنة خمس وسبعين وستمائة بالقرافة,القرافة
698.0,,,,birth, ولدت سنة ثمان وتسعين وستمائة,
698.0,,,,, بدر الدين الشمسي الصالحي صاحب الدار الكبيرة بين القصرين المعروفة بالبيرسية واحد الامراء المشهورين بل وممن ذكر للسلطنة والمتوفي سنة ثمان وتسعين وستمائة,
