,index,value_counts
0,الشام,358
1,مصر,327
2,اليمن,238
3,المعلاة,108
4,الهند,92
5,جده,76
6,المحلة,75
7,الNOAN,73
8,صفد,71
9,الأزهر,71
10,المغرب,69
11,رقوق,57
13,بولاق,55
12,الإسكندرية,55
14,البرقوقية,54
15,القرافة,53
16,البيبرسية,53
17,باب النصر,48
18,البحر,46
19,تعز,46
20,الناصرية,45
21,الصعيد,44
22,برسباي,44
23,الكرك,42
24,الشرقية,39
25,حوش,39
26,الحنابلة,39
27,الطاعون,38
28,الغربية,38
29,بالبقيع,37
30,العراق,35
31,الصحراء,34
32,يسير,34
33,المنصورية,33
34,البيمارستان,33
35,سرياقوس,31
36,الجمالية,29
37,الروضة,29
38,النصر,29
39,أوائل,28
40,الظاهر,28
41,أمد,28
42,طولون,28
43,قاسيون,28
44,الديار,28
45,الصالحية,28
49,بالصالحية,27
48,الروم,27
47,البحيرة,27
46,طيبة,27
50,الصرغتمشية,25
51,الأندلس,25
52,الحرمين,24
53,بالبيبرسية,24
54,الاستادارية,24
55,بالخانقاه,23
56,حانوت,23
57,الحبشة,23
58,السلطنة,23
60,خانقاه,22
59,حماه,22
61,بالحسينية,21
62,الدوادارية,21
63,الأشرف,20
64,قطنها,20
65,الكعبة,20
66,خشقدم,19
67,قوصون,18
68,طبلخاناه,18
69,سويقه,18
70,بالصرغتمشية,18
71,السلام,18
74,خراسان,17
72,الحرم,17
73,المنوفية,17
76,قنطرة,16
77,المنكوتمرية,16
75,بالمؤيدية,16
83,قبرس,15
87,طنتدا,15
86,البحرين,15
85,قطيا,15
84,بالمنكوتمرية,15
82,الطور,15
81,الرجبية,15
80,فارس,15
79,بالباسطية,15
78,عجلون,15
88,والرملة,14
89,ببلبيس,14
90,الينبوع,14
91,نوروز,14
101,سودون,13
100,الأقصى,13
98,بمنوف,13
102,أسيوط,13
99,المؤمني,13
96,كائنة,13
97,المؤيدية,13
95,اتابكية,13
94,الظاهرية,13
93,منية,13
92,جركس,13
103,جوشن,12
104,بالاشرفية,12
105,الحسينية,12
106,شهبه,12
107,تمربغا,12
108,الكاملية,12
113,بفارسكور,11
115,قلعة الجبل,11
114,الاتابكية,11
109,كيفا,11
112,الثغر,11
111,الحجازية,11
110,باب زويلة,11
121,اينال,10
125,بالمعجمة,10
124,لبيس,10
123,أذربيجان,10
122,طشتمر,10
116,وادي نخلة,10
120,بركة الرطلي,10
119,الحرم النبوي,10
118,يلبغا,10
117,بطالا,10
136,وجده,9
144,ك+ أبيه,9
143,برصا,9
142,خازندارا,9
141,قسنطينة,9
140,باب الفراديس,9
139,باب الشعرية,9
138,يشبك,9
137,ططر,9
145,باب تومأ,9
135,وادي مر,9
133,برجوان,9
132,تمرلنك,9
131,صالحيه,9
130,الجيزية,9
129,بالشيخونية,9
128,بسنباط,9
127,أخور,9
126,الجبل,9
134,الإسطبل,9
169,اللنكية,8
163,الوزير,8
165,أزبك,8
166,المنزلة,8
167,المرستان,8
168,الكهولة,8
173,الأزبكية,8
170,العجم,8
171,سحر,8
172,المسجد الحرام,8
161,طائفة,8
174,بالقراسنقرية,8
175,التبانة,8
162,باب الوزير,8
164,سعيد,8
160,القصير,8
152,الرياض,8
159,تمراز,8
146,المهملة,8
147,عنتاب,8
148,حوران,8
150,بسمنود,8
151,بخانقاه,8
149,الشريفية,8
153,بماملا,8
154,بالحسنية,8
155,الدريس,8
156,الدوادار,8
157,كلبرجة,8
158,باب الصغير,8
203,الفرنج,7
196,فوت,7
197,قانباي,7
198,بكازرون,7
199,الموسكي,7
200,ارزنكان,7
201,بمنفلوط,7
202,فوه,7
210,المهمندارية,7
204,بطنتدا,7
205,حصن,7
206,المشرق,7
207,الشامية,7
208,سلخ,7
209,ظاهر,7
194,إسطنبول,7
195,الاهناسية,7
182,حضرة,7
193,والبيبرسية,7
184,بجوجر,7
192,الخانقاه,7
177,ايتمش,7
178,بالمحمودية,7
179,ماملا,7
181,سنباط,7
176,رودس,7
183,الخازندارية,7
180,البرقية,7
185,الزمامية,7
186,الحديدة,7
187,عرفه,7
188,الجمدارية,7
189,البرلس,7
190,النبوية,7
191,القليوبية,7
242,س+ نهور,6
233,بسرياقوس,6
234,الخشابية,6
235,NOAN,6
236,رمضان,6
237,قانم,6
239,الفسطاط,6
240,حراء,6
241,هرمز,6
250,المملكة,6
243,الأقمر,6
244,المسجد الأقصى,6
245,زمزم,6
246,والشيخونية,6
247,القطبية,6
248,الزاوية,6
249,جقمق,6
231,البهنساوية,6
232,أنبائه,6
238,القصرين,6
230,الموطأ,6
220,الشمس,6
229,قنطرة الموسكي,6
211,السويقة,6
212,نون,6
213,جيله,6
215,بالرملة,6
216,السلطان,6
217,المعرة,6
218,رغبة,6
219,الجزائر,6
214,الحمام,6
221,طيلان,6
223,القبة,6
224,المقسم,6
225,حضرتي,6
226,صرغتمش,6
227,المغرب الأقصى,6
222,الظاهر رقوق,6
228,درب,6
292,الحرم الشريف,5
298,القبيبات,5
297,كجرات,5
296,ببجاية,5
295,بتتا,5
294,بالمقس,5
293,قديدار,5
289,حوش البيبرسية,5
291,دقماق,5
290,الجورة,5
288,الاخورية,5
287,الإسهال,5
300,بفيشا,5
286,الحرام,5
299,باب الفتوح,5
309,الجون,5
301,باب البحر,5
302,سهام,5
303,الصليبة,5
304,الشوبك,5
305,الحياكة,5
306,عين حنين,5
307,المتوسط,5
308,والصرغتمشية,5
310,س+ نقر,5
311,الصاحب,5
312,بردبك,5
313,تركيا,5
314,الينبع,5
315,مشهد,5
284,بالجودرية,5
285,سويقه الصاحب,5
279,البركة,5
283,بادكو,5
265,باب السلام,5
282,بالتنكزية,5
251,الكاف,5
252,الرميلة,5
253,رأس,5
255,وخازندارا,5
256,أنطاكية,5
257,أجياد,5
258,التربة,5
259,بابيار,5
260,قلعة,5
261,صعده,5
262,القجماسية,5
263,رابغ,5
264,الوراقين,5
254,الوجه البحري,5
266,سخا,5
274,طبلخاناة,5
281,اتابكيتها,5
267,الخليج,5
280,اتابكا,5
277,البذل,5
276,بملطية,5
275,الكبش,5
278,بينبع,5
273,رياسة,5
269,قناطر السباع,5
271,ك+ رمان,5
268,الباب,5
270,الزمام,5
272,أم هانئ,5
381,تنكز,4
382,دمرداش,4
383,الجركسي,4
384,كوكاي,4
386,الشاطبية,4
385,القراسنقرية,4
387,زاوية,4
388,الفرائض,4
379,بسرمين,4
389,وبالمؤيدية,4
380,قمن,4
372,الطبلخاناة,4
378,الخواجا,4
377,البدر,4
376,بمردا,4
375,قلمطاي,4
374,شبري,4
373,نشأ,4
371,مصرة,4
370,الفسقية,4
369,الشيخونية,4
368,بقوص,4
391,بخاري,4
390,بيت,4
408,والخروبية,4
392,الطيبرسية,4
393,اللنك,4
366,الجوق,4
415,الصبيبة,4
414,عسكر,4
413,القمح,4
412,انبابة,4
411,س+ يواس,4
410,وهرموز,4
409,ادكو,4
407,الريدانية,4
406,الحسبة,4
405,بالطيبرسية,4
403,المنية,4
402,شعبان,4
401,المزة,4
400,مر,4
399,البقيع,4
398,سلمون,4
397,حوش سعيد,4
396,الباب الجديد,4
395,البحر المالح,4
394,رأس سويقه,4
367,جبرين,4
404,بكيلان,4
365,المزهرية,4
316,تحتانية,4
337,اشموم الرمان,4
336,والخازندارية,4
335,شكار,4
334,والمؤيدية,4
333,المقدس,4
332,الجعبري,4
331,ردي,4
330,أماكن,4
329,شقير,4
328,منفلوط,4
327,الركنية,4
339,أسط,4
326,بالزمامية,4
325,بالنحرارية,4
324,جزيرة الفيل,4
323,بالايتمشية,4
322,بديروط,4
321,ومنوف,4
319,تربة البيبرسية,4
318,آب,4
317,الديار المصرية,4
364,جاور,4
338,المقطم,4
320,بنجالة,4
340,والباسطية,4
353,عقبة,4
341,والصالحية,4
363,المليسا,4
362,مراكش,4
360,بكنباية,4
359,الحجار,4
358,الاسنوي,4
357,الهمزة,4
356,بالزينية,4
355,البندقانيين,4
354,سكره,4
361,جيم,4
352,سلطنة,4
346,بالفاضلية,4
351,شبيكة,4
343,والقانبيهية,4
342,بالتكرور,4
345,خان,4
344,بركة الحاج,4
347,الدشت,4
348,طوخ,4
349,بعنتاب,4
350,الخدام,4
526,سر,3
527,أروي,3
528,القلندرية,3
529,بخوارزم,3
530,بالجيعانية,3
531,بخارا,3
532,أسنا,3
533,الوادي,3
534,السبيل,3
539,الكسر,3
535,طقزدمر,3
536,السعادة,3
537,خربه روحا,3
538,السراج,3
540,بحارة,3
541,بركة,3
542,السابقية,3
524,بالخانكاه,3
543,بحدرة,3
525,الظاهر خشقدم,3
512,الخزائن,3
523,الشفا,3
511,المكي,3
545,حارة,3
504,بطوخ,3
505,ك+ اليمن,3
506,كلبرجا,3
507,قرايلك,3
508,والمنكوتمرية,3
509,الايتمشية,3
510,صيرفيا,3
513,مكة بحرا,3
522,قارا,3
514,مكة حج,3
515,السعيدية,3
516,الفخرية,3
517,مكة جاور,3
518,سبط الزبير,3
519,ايدغمش,3
520,تربة الصلاحية,3
521,بكرمان,3
544,بالاقبغاوية,3
570,المكارية,3
546,قفصه,3
578,أبيه,3
502,خزن,3
571,وبالخروبية,3
572,نخلة,3
573,بالمهمندارية,3
574,يبرود,3
575,الأسدية,3
576,أرغون,3
577,منية بدران,3
579,الجمادين,3
568,النحرارية,3
580,عرفة,3
581,قرابة,3
582,الهدة,3
583,الجيم,3
584,الأحمدين,3
585,الشرابشية,3
586,منية عباد,3
588,الخروبية,3
569,العساكر,3
567,بانقوسا,3
547,برسباى,3
556,الأقطار,3
548,بالسميساطية,3
549,أنشآها,3
