,index,value_counts
0,مصر,336
1,المعلاة,109
2,الهند,95
3,المغرب,77
4,الNOAN,74
5,الأزهر,73
6,البرقوقية,58
7,رقوق,58
8,الإسكندرية,58
9,بولاق,57
10,القرافة,54
11,البيبرسية,53
12,باب النصر,48
13,البحر,47
14,الكرك,46
15,الصعيد,44
16,برسباي,44
17,حوش,39
18,الحنابلة,39
20,الطاعون,38
19,بالبقيع,38
21,البيمارستان,33
22,أمد,31
23,سرياقوس,31
24,النصر,29
25,قاسيون,29
26,أوائل,28
27,الديار,28
28,طولون,28
31,بالصالحية,27
30,الروم,27
29,الأندلس,27
32,الاستادارية,25
33,الصرغتمشية,25
34,السلطنة,25
35,الحرمين,24
36,بالبيبرسية,24
37,بالخانقاه,23
38,حانوت,23
39,الحبشة,23
42,حماه,22
40,الدوادارية,22
41,خانقاه,22
43,بالحسينية,21
44,قطنها,20
45,الأشرف,20
46,خشقدم,19
47,قوصون,18
48,سويقه,18
49,طبلخاناه,18
50,بالصرغتمشية,18
53,خراسان,17
54,المنوفية,17
52,عجلون,17
51,الحرم,17
55,قنطرة,16
56,سودون,16
57,المنكوتمرية,16
58,بالمؤيدية,16
64,بالمنكوتمرية,15
67,الأقصى,15
66,فارس,15
65,طنتدا,15
61,قبرس,15
63,قطيا,15
62,نوروز,15
60,بالباسطية,15
59,ببلبيس,15
68,الينبوع,14
69,اتابكية,14
70,والرملة,14
71,منية,13
72,المؤيدية,13
73,جركس,13
74,كائنة,13
75,بمنوف,13
76,المؤمني,13
77,أسيوط,13
81,بالاشرفية,12
82,تمربغا,12
79,وادي نخلة,12
80,شهبه,12
78,جوشن,12
83,قلعة الجبل,11
84,الاتابكية,11
85,بفارسكور,11
86,الثغر,11
87,كيفا,11
88,يلبغا,11
89,باب زويلة,11
90,الحجازية,11
95,بطالا,10
98,اينال,10
97,بالمعجمة,10
96,أذربيجان,10
94,طشتمر,10
93,بركة الرطلي,10
92,تمرلنك,10
91,الحرم النبوي,10
109,خازندارا,9
117,لبيس,9
116,بالشيخونية,9
115,برصا,9
114,ططر,9
113,بسنباط,9
112,باب تومأ,9
111,وادي مر,9
110,صالحيه,9
106,يشبك,9
108,الجيزية,9
105,الدوادار,9
104,باب الفراديس,9
103,ك+ أبيه,9
102,برجوان,9
101,وجده,9
100,الإسطبل,9
99,أخور,9
107,باب الشعرية,9
138,الشريفية,8
133,باب الصغير,8
134,العجم,8
135,بخانقاه,8
136,رودس,8
137,بالحسنية,8
142,طائفة,8
139,الأزبكية,8
140,عنتاب,8
141,الكهولة,8
143,حوران,8
131,سعيد,8
132,بماملا,8
120,المرستان,8
130,بسمنود,8
123,الدريس,8
129,سحر,8
118,تمراز,8
119,كلبرجة,8
122,بكازرون,8
121,بالقراسنقرية,8
124,اللنكية,8
125,المهملة,8
126,باب الوزير,8
127,أزبك,8
128,التبانة,8
168,بجوجر,7
162,بطنتدا,7
163,الجمدارية,7
164,الزمامية,7
165,ماملا,7
166,المهمندارية,7
167,سلخ,7
174,فوه,7
169,الفرنج,7
170,ايتمش,7
171,جيله,7
172,البرقية,7
173,ظاهر,7
160,ارزنكان,7
161,والبيبرسية,7
150,القليوبية,7
159,حضرة,7
151,الموسكي,7
158,فوت,7
145,النبوية,7
147,بالمحمودية,7
148,إسطنبول,7
149,البرلس,7
144,بمنفلوط,7
146,الموطأ,7
152,البهنساوية,7
154,الخازندارية,7
155,الخانقاه,7
156,رغبة,7
157,الاهناسية,7
153,قانباي,7
195,قنطرة الموسكي,6
190,طيلان,6
191,بسرياقوس,6
192,المملكة,6
193,الشمس,6
198,حراء,6
196,هرمز,6
197,قانم,6
199,المعرة,6
200,القطبية,6
188,نون,6
189,جقمق,6
194,السويقة,6
187,أنبائه,6
181,NOAN,6
186,المقسم,6
177,بالرملة,6
178,س+ نهور,6
179,صرغتمش,6
180,المسجد الأقصى,6
176,الأقمر,6
175,المغرب الأقصى,6
183,الظاهر رقوق,6
184,حضرتي,6
185,والشيخونية,6
182,رمضان,6
236,قديدار,5
240,أجياد,5
239,الحرم الشريف,5
238,سكره,5
237,ك+ رمان,5
234,باب البحر,5
235,عين حنين,5
233,وخازندارا,5
232,باب الفتوح,5
231,الينبع,5
242,أم هانئ,5
241,بادكو,5
248,الحرام,5
243,بردبك,5
244,القجماسية,5
245,بالتنكزية,5
246,الوجه البحري,5
247,س+ نقر,5
249,الخليج,5
250,ببجاية,5
251,قناطر السباع,5
252,طبلخاناة,5
253,اتابكا,5
254,بالنحرارية,5
255,بملطية,5
228,الاخورية,5
229,سويقه الصاحب,5
230,أنطاكية,5
227,شبري,5
213,بابيار,5
226,الوراقين,5
201,رياسة,5
202,الإسهال,5
204,الكبش,5
205,رأس,5
206,تركيا,5
207,المتوسط,5
208,الشوبك,5
209,والصرغتمشية,5
210,الجورة,5
211,بتتا,5
212,بالمقس,5
203,الحياكة,5
214,بينبع,5
221,بالجودرية,5
225,جزيرة الفيل,5
215,القبيبات,5
223,بفيشا,5
222,اتابكيتها,5
224,البذل,5
220,الصاحب,5
219,صعده,5
218,حوش البيبرسية,5
217,الصليبة,5
216,قلعة,5
321,بيت,4
312,بابوتيج,4
320,الطبلخاناة,4
319,الركنية,4
318,بسرمين,4
317,الجوق,4
316,حوش سعيد,4
315,تنكز,4
314,نشأ,4
313,بالفاضلية,4
307,والخروبية,4
311,عسكر,4
310,البقيع,4
309,الجركسي,4
308,شكار,4
306,زاوية,4
305,تربة البيبرسية,4
304,بكنباية,4
303,الباب الجديد,4
323,الخدام,4
322,شبيكة,4
337,الشيخونية,4
324,بقوص,4
325,مصرة,4
301,اللنك,4
345,المقطم,4
344,بكيلان,4
342,بديروط,4
341,كوكاي,4
340,بركة الحاج,4
339,رأس سويقه,4
338,البدر,4
336,الزمام,4
335,بالايتمشية,4
334,قطيه,4
333,الفسقية,4
332,بخاري,4
331,القراسنقرية,4
330,أماكن,4
329,بنجالة,4
328,اشموم الرمان,4
327,بمردا,4
326,بعنتاب,4
302,والباسطية,4
343,قلمطاي,4
300,بالطيبرسية,4
266,وهرموز,4
275,دمرداش,4
274,قمن,4
273,بالزمامية,4
272,أسط,4
271,جاور,4
270,ومنوف,4
269,آب,4
268,الهمزة,4
267,المليسا,4
265,الديار المصرية,4
277,البندقانيين,4
264,خان,4
263,الجعبري,4
262,والمؤيدية,4
261,والصالحية,4
259,القمح,4
256,الحسبة,4
258,الريدانية,4
257,الخواجا,4
299,الشاطبية,4
276,المزهرية,4
260,مر,4
278,الطيبرسية,4
289,والخازندارية,4
279,النحرارية,4
298,وبالمؤيدية,4
297,تحتانية,4
295,الزردكاشية,4
294,سلطنة,4
293,سلمون,4
292,بالتكرور,4
291,جيم,4
290,ردي,4
296,والقانبيهية,4
288,س+ يواس,4
284,شقير,4
287,المقدس,4
281,الاسنوي,4
283,البحر المالح,4
282,الصبيبة,4
285,الفرائض,4
286,انبابة,4
280,بالزينية,4
441,بالمهمندارية,3
442,باطفيح,3
448,أسوان,3
443,قلعة الروم,3
444,سبيل المؤمني,3
445,وبالخروبية,3
446,أبيه,3
447,العساكر,3
451,أنشآها,3
449,القرافة الصغرى,3
450,باب القنطرة,3
452,خزن,3
453,السعادة,3
454,الوراق,3
439,منية عساس,3
