('Q41', 'Greece'), settlements
('Q846', 'Qatar'), settlements
('Q846', 'Qatar'), holy sites
('Q142', 'France'), settlements
('Q851', 'Saudi Arabia'), settlements
('Q851', 'Saudi Arabia'), holy sites
('Q228', 'Andorra'), settlements
('Q228', 'Andorra'), holy sites
('Q863', 'Tajikistan'), settlements
('Q863', 'Tajikistan'), holy sites
('Q222', 'Albania'), settlements
('Q222', 'Albania'), holy sites
('Q843', 'Pakistan'), settlements
('Q843', 'Pakistan'), holy sites
('Q38', 'Italy'), settlements
('Q837', 'Nepal'), settlements
('Q837', 'Nepal'), holy sites
('Q214', 'Slovakia'), settlements
('Q214', 'Slovakia'), holy sites
('Q229', 'Cyprus'), settlements
('Q229', 'Cyprus'), holy sites
('Q115', 'Ethiopia'), settlements
('Q115', 'Ethiopia'), holy sites
('Q36', 'Poland'), settlements
('Q33', 'Finland'), settlements
('Q33', 'Finland'), holy sites
('Q55', 'Netherlands'), settlements
('Q55', 'Netherlands'), holy sites
('Q822', 'Lebanon'), settlements
('Q822', 'Lebanon'), holy sites
('Q826', 'Maldives'), settlements
('Q826', 'Maldives'), holy sites
('Q858', 'Syria'), settlements
('Q858', 'Syria'), holy sites
('Q854', 'Sri Lanka'), settlements
('Q854', 'Sri Lanka'), holy sites
('Q826', 'Maldives'), settlements
('Q826', 'Maldives'), holy sites
('Q265', 'Uzbekistan'), settlements
('Q265', 'Uzbekistan'), holy sites
('Q35', 'Denmark'), settlements
('Q35', 'Denmark'), holy sites
('Q184', 'Belarus'), settlements
('Q184', 'Belarus'), settlements
('Q28', 'Hungary'), settlements
('Q28', 'Hungary'), holy sites
('Q224', 'Croatia'), settlements
('Q224', 'Croatia'), holy sites
('Q31', 'Belgium'), settlements
('Q117', 'Ghana'), settlements
('Q810', 'Jordan'), settlements
('Q34', 'Sweden'), settlements
('Q233', 'Malta'), settlements
('Q32', 'Luxembourg'), settlements
('Q39', 'Switzerland'), settlements
('Q219', 'Bulgaria'), settlements
('Q191', 'Estonia'), settlements
('Q37', 'Lithuania'), settlements
('Q37', 'Lithuania'), settlements
('Q37', 'Lithuania'), holy sites
('Q40', 'Austria'), settlements
('Q43', 'Turkey'), settlements
('Q79', 'Egypt'), settlements
('Q79', 'Egypt'), holy sites
('Q211', 'Latvia'), settlements
('Q183', 'Germany'), settlements
('Q657', 'Chad'), settlements
('Q657', 'Chad'), holy sites
('Q232', 'Kazakhstan'), settlements
('Q232', 'Kazakhstan'), holy sites
('Q874', 'Turkmenistan'), settlements
('Q874', 'Turkmenistan'), holy sites
('Q212', 'Ukraine'), settlements
('Q212', 'Ukraine'), holy sites
('Q218', 'Romania'), settlements
('Q215', 'Slovenia'), settlements
('Q215', 'Slovenia'), holy sites
('Q945', 'Togo'), settlements
('Q945', 'Togo'), holy sites
('Q62651', 'Denmark-Norway'), settlements
('Q62651', 'Denmark-Norway'), holy sites
('Q889', 'Afghanistan'), settlements
('Q889', 'Afghanistan'), holy sites
('Q967', 'Burundi'), settlements
('Q967', 'Burundi'), holy sites
('Q889', 'Afghanistan'), settlements
('Q889', 'Afghanistan'), holy sites
('Q889', 'Afghanistan'), settlements
('Q889', 'Afghanistan'), holy sites
('Q1032', 'Niger'), settlements
('Q1032', 'Niger'), holy sites
('Q79965', 'Golden Horde'), settlements
('Q79965', 'Golden Horde'), holy sites
('Q1020', 'Malawi'), settlements
('Q1020', 'Malawi'), holy sites
('Q23427', 'South Ossetia'), settlements
('Q23427', 'South Ossetia'), holy sites
('Q889', 'Afghanistan'), settlements
