"place","enLabel","placeLabel","toponyms","geometry","typeLabel","country"
"Q654259","Bukoba","بوكوبا","بوكوبا","Point(31.816666666 -1.333333333)","city","Q924"
"Q1960","Dar es Salaam","دار السلام","دار السلام","Point(39.283333333 -6.8)","port settlement","Q924"
"Q243319","Morogoro","موروغورو","موروجورو، موروغورو","Point(37.663333333 -6.824166666)","city","Q924"
"Q115323","Sumbawanga","سومباوانغا","سومباوانغا","Point(31.616666666 -7.966666666)","big city","Q924"
"Q244509","Kigoma","كيغوما","كيغوما","Point(29.633333333 -4.883333333)","city","Q924"
"Q646684","Mtwara","متوارا","متوارا","Point(40.182777777 -10.273611111)","city","Q924"
"Q2086390","Mkokotoni","مكوكوتوني","مكوكوتوني","Point(39.273055555 -5.88)","city","Q924"
"Q829886","Lindi","ليندي","ليندي","Point(39.714444444 -9.996944444)","city","Q924"
"Q110218","Mwanza","موانزا","موانزا","Point(32.9 -2.516666666)","big city","Q924"
"Q847315","Musoma","موسوما","موسوما","Point(33.804166666 -1.506944444)","big city","Q924"
"Q1514015","Tunduru","توندورو","توندورو","Point(37.35 -11.0667)","human settlement","Q924"
"Q152902","Tanga","تنجا","تنگا، تنجا","Point(39.1 -5.066666666)","big city","Q924"
"Q271733","Moshi","موشي","موشي","Point(37.340380555 -3.334883333)","big city","Q924"
"Q153331","Singida","محافظة سينغيدا","محافظة سينغيدا","Point(34.750555555 -4.818611111)","city","Q924"
"Q391599","Mpanda","مباندا","مباندا","Point(31.069444444 -6.343611111)","city","Q924"
"Q844417","Stone Town","مدينة زنجبار الحجرية","زنجبار القديمة, ستون تون، مدينة زنجبار الحجرية","Point(39.198788888 -6.164944444)","city","Q924"
"Q2222874","Zanzibar City","مدينة زنجبار","زنزيبار، مدينة زنجبار","Point(39.2 -6.166666666)","big city","Q924"
"Q735609","Iringa","ايرينغا","انزيجا، ايرينغا","Point(35.69 -7.77)","city","Q924"
"Q4622385","Geita","غيتا","غيتا","Point(32.229444444 -2.871388888)","city","Q924"
"Q794813","Songea","سونجيا","سونجيا","Point(35.65 -10.683333333)","city","Q924"
"Q799843","Bagamoyo","باجامويو","باجامويو","Point(38.9 -6.433333333)","town","Q924"
"Q643112","Tabora","تابورا","تابورا","Point(32.8 -5.016666666)","big city","Q924"
"Q335548","Mbeya","مبيا","مبيا","Point(33.45 -8.9)","city","Q924"
"Q133448","Uvinza","يوفينزا","يوفينزا","Point(30.391111111 -5.103611111)","town","Q924"
"Q276746","Babati","باباتي","باباتي","Point(35.7475 -4.211666666)","city","Q924"
"Q195492","Kibaha","كيباها","كيباها","Point(38.928888888 -6.758611111)","city","Q924"
"Q4301","Arusha","اروشا","اروشا","Point(36.683333333 -3.366666666)","big city","Q924"
"Q3711197","Mpwapwa","مبوابوا","مبوابوا","Point(36.48333333 -6.35)","city","Q924"
"Q1027843","Korogwe","كوروغوي","كوروغوي","Point(38.450277777 -5.155833333)","city","Q924"
"Q995249","Tukuyu","توكويو","توكويو","Point(33.641666666 -9.258333333)","city","Q924"
"Q993159","Chake-Chake","تشاك-تشاك","تشاك-تشاك","Point(39.766666666 -5.245833333)","human settlement","Q924"
"Q818765","Shinyanga","شينيانغا","شينيانغا","Point(33.423055555 -3.661944444)","city","Q924"
"Q637890","Mbamba Bay","خليج مبامبا","خليج مبامبا","Point(34.766666666 -11.283333333)","border town","Q924"
"Q15554012","Kasulu","كاسولو","كاسولو","Point(30.1025 -4.57667)","city","Q924"
"Q6346798","Kahama","كاهاما","كاهاما","Point(32.6 -3.84)","city","Q924"
"Q3357920","Loliondo","لوليوندو","لوليوندو","Point(35.61666667 -2.05)","human settlement","Q924"
